evidence_id,sha256,family,member,bytes,pages,occurrence_count
PD-CAB-SAIP-PDF-0147,795d25e5cf6cba7650b709d3e0838fb3bf785b1905c28e851c22c66e94b8fa73,4887/2025,4887_2025/01. 02PLANEREF21.03.25- F-redacted.pdf,27703759,9,1
PD-CAB-SAIP-PDF-0148,ee20ae958e5a007c52c9c577425f89d5203d52e541ca89a485d2050bbdebdeb6,4887/2025,4887_2025/02. 04ESTANDARES TURISTICOS- - F-redacted.pdf,6579895,1,1
PD-CAB-SAIP-PDF-0149,37be6b0679660252f909e2cb0a234ac5ccad7c8cbe84b94e0fcae5c4f6b2dc44,4887/2025,4887_2025/03. 05JUSTIFICACION RD 142-2010 -F-redacted.pdf,19729577,5,1
PD-CAB-SAIP-PDF-0150,6951b0f28af982de78b74101f8450feb5270986c481228ca9d6dceb6953f3ec1,4887/2025,4887_2025/04. 05bUD.EXPLOTACION27.03.25 -F-redacted.pdf,13935987,2,1
PD-CAB-SAIP-PDF-0151,1542b5c01bf4252b0ca990d1c5990c1859876be60a0ca380057845450e229442,4887/2025,4887_2025/05. 28.02.22 CONSTITUCION NEW TREND-redacted.pdf,281497,47,1
PD-CAB-SAIP-PDF-0152,733d95640e405cb9307c9d886a9d4cbfdf01fbac02d5849cc9830f8ed08d388f,4887/2025,4887_2025/06. DECLARACION RESPONSABLE 301 UNIDADES ALOJATIVASF-redacted.pdf,449100,2,1
PD-CAB-SAIP-PDF-0153,5bedc367ec3a9064db162e5ee6ef19777046bebb6670ea3a63cb853cd3c836c0,4887/2025,4887_2025/07. MEMCOMPLETASUNPARK27.03.25 -F-redacted.pdf,9847515,52,1
PD-CAB-SAIP-PDF-0154,55c105d437e71348a7d41f68c846db17faaf880459089e4664b7a3df10480bd9,4887/2025,4887_2025/08. TIPOLOGIAS21.03.25- F.pdf,623341,8,1
PD-CAB-SAIP-PDF-0155,6479c6134e0ee83196638f8742f738ba2acf9c6f6c904a6b70a49e852a967644,4887/2025,4887_2025/09. DNI LAURA P.ACOSTA MATOS..pdf,386316,1,1
PD-CAB-SAIP-PDF-0156,16f9a3e9d411c8035e69c369c020c8da2b316dd5cbfa375d146dbc0b3f8892a0,4887/2025,4887_2025/0a. Portada.pdf,378574,2,1
PD-CAB-SAIP-PDF-0157,f302400c09eb826b09a5d489c1166215abe50bc46e838345ef9c11e43daa9216,4887/2025,4887_2025/0b. Indice.pdf,442160,1,1
PD-CAB-SAIP-PDF-0158,5664be1048fde0691ece1113d593deff3a25687f97e99fa30268d44d5845300f,4887/2025,4887_2025/0c. Informe Ejecutivo-redacted (3).pdf,73947,1,1
PD-CAB-SAIP-PDF-0159,1c30c696fece9ccadd34335dbddc5438c0cb19df927fdc444c9414b77b59f980,4887/2025,4887_2025/10. Instancia firmada-2025-E-RE-5960.pdf,387013,3,1
PD-CAB-SAIP-PDF-0160,d246f9cde3cfe1128ce18c465abed2679c1469a4c640bef903665100a68bcf46,4887/2025,4887_2025/11. Recibo-2025-E-RE-5960.pdf,537719,3,1
