Master_ID,Legacy_ID,Record_Type,Is_Proceeding,Proceeding_Class,Stream,Geography,Origin_Organ,Current_Custodian,Reference,Secondary_Reference,NIG,Date_or_Period,Connection,Object_or_Purpose,Status,Latest_Known_Event,Appeal_or_Review,Parent_Master_ID,Linked_Proceedings,Source_Status,Primary_Source_Anchor,Repo_Canonical_Source,Open_Reference_Gap,Public_Treatment,Last_Scan_Date,Notes
LZ-JUD-001,LZ-JUD-001,JUDICIAL_PROCEEDING,TRUE,DIRECT,Civil appellate,Lanzarote / AP Las Palmas,Audiencia Provincial de Las Palmas,Audiencia Provincial de Las Palmas,AP 89/2014,,,2014,Community/CEXP/unit possession-operation,Civil appellate treatment of claimant units and CEXP/Community issues,Historical; primary completion pending,,,,,CORPUS_REPORTED_PRIMARY_PENDING,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Exact roll, first-instance court, signed judgment, parties, fincas, finality",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-JUD-002,LZ-JUD-002,JUDICIAL_PROCEEDING,TRUE,DIRECT,Criminal,Lanzarote,Juzgado de Instrucción nº 3 de Arrecife,Juzgado de Instrucción nº 3 de Arrecife,DP 332/2014,,,2014-2021,2013 Fiscalía frame; Community/minority/AC issues,Criminal investigation,Archive in 2021 reported secondarily; exact date grounds and finality primary-pending,,,,,CORPUS_REPORTED_PRIMARY_PENDING,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Certified docket, signed final disposition, notice and finality",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-26,
LZ-JUD-003,LZ-JUD-003,JUDICIAL_PROCEEDING,TRUE,DIRECT,Criminal,Lanzarote,Juzgado de Instrucción nº 2 de Arrecife (antiguo Juzgado Mixto nº 7),Juzgado de Instrucción nº 2 de Arrecife,DP 1132/2018,Diligencias Indeterminadas 1103/2018-00 (procedural origin),3500443220180003508,2018,7 Jun 2018 access/control; Community authority; AC testimony,"Access, possession and control allegations",Provisionally archived,20 Aug 2018 Auto ordered provisional dismissal,Rollo 1010/2018 / Auto 804/2018,,LZ-APP-004,VERIFIED_PRIMARY_COPY,,archive/ARRECIFE_1103_1132_1010_804_CARET_INTERLINK_CONTROL_30AUG2026.md,"Court-certified complete docket, service record, full annex set and audiovisual masters",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-30,"1103 is the documented indeterminate-proceedings origin of DP 1132; it is an alias/precursor reference within this row, not a silently merged separate merits case."
LZ-JUD-042,,JUDICIAL_PROCEEDING,UNVERIFIED,DIRECT,Criminal,Lanzarote,Arrecife investigating court — exact organ pending,Arrecife investigating court — exact organ pending,DP 974/2023,,,2023-,User-identified Arrecife criminal proceeding requiring source-led relationship testing,"Exact subject, parties, acts and relationship to the Sun Park/Community/LPB perimeter remain unverified","Canonical reference registered; no primary docket, filing, decision or outcome located in the repository, Library or continuity search",,,,"LZ-JUD-002; LZ-JUD-003; LZ-APP-004; GC-FIS-013; GC-JUD-001",OPEN_REFERENCE,"Gil Marer direct identification in authenticated project thread, 30 Aug 2026",archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Signed or certified first page/docket establishing exact court, NIG, parties/capacities, object, filing and counsel/procurador lineage, procedural acts, status, appeal/finality and document-transmission bridges",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-30,"Separate provisional identity; do not merge with DP 332/2014, DP 1132/2018, Auto 804/2018, DI 248/2018 or Concurso 36/2012. Interlinks are investigative/navigation links only, not joinder, same facts, knowledge, reliance, wrongdoing or merits treatment."
LZ-APP-004,LZ-APP-004,APPEAL_ROLL,TRUE,DIRECT,Criminal appellate,Lanzarote / AP Las Palmas,"Audiencia Provincial de Las Palmas, Sección Segunda","Audiencia Provincial de Las Palmas, Sección Segunda",Rollo 1010/2018,Auto 804/2018,3500443220180003508,2018,Appeal from DP 1132/2018,Appellate review of 20 Aug 2018 provisional dismissal,"Appeals dismissed; provisional dismissal confirmed; final/no further appeal",13 Nov 2018 Auto 804/2018 issued and notified as final,,LZ-JUD-003,LZ-JUD-003,VERIFIED_PRIMARY_COPY,,archive/ARRECIFE_1103_1132_1010_804_CARET_INTERLINK_CONTROL_30AUG2026.md,"Court-certified complete roll, appeal/opposition filings, Fiscalía position and service record",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-30,"The appeal outcome is adverse and final as an appellate order; it is not a civil/tourism title judgment and does not create CAM title."
LZ-JUD-005,LZ-JUD-005,JUDICIAL_PROCEEDING,TRUE,DIRECT,Civil enforcement,Lanzarote,Arrecife court — exact organ pending,Arrecife court — exact organ pending,Mortgage enforcement / dación branch,Termination 18/08/2023,,through 2023,"Mortgage credit, dación, cancellation, title chain",Mortgage enforcement and satisfaction,Terminated 18 Aug 2023,,,,,CORPUS_REPORTED_PRIMARY_PENDING,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Exact court/reference, enforcement title, parties, dación deed, satisfaction account, signed termination resolution",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-JUD-FAM-006,LZ-JUD-FAM-006,JUDICIAL_PROCEEDING_FAMILY,UNVERIFIED,DIRECT,Civil,Lanzarote,Multiple courts — inventory incomplete,Multiple courts — inventory incomplete,Community/CEXP/unit civil proceeding family,,,historical,"Unit, possession, access, debt and Community disputes",Family placeholder pending case-by-case extraction,Individual map incomplete,,,,,OPEN_REFERENCE,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Extract every case number, court, party, finca, decision, appeal and finality",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-FIS-007,LZ-FIS-007,FISCALIA_FILE,TRUE,DIRECT,Fiscalía,Lanzarote / Madrid,Fiscalía de la Audiencia Nacional,Fiscalía de Área de Arrecife de Lanzarote–Puerto del Rosario,Expediente Gubernativo 86/2026,"EG 86/2026; legacy GUB 86/2026",,2026-08-10,Sun Park / Pink-AEAT source and territorial routing,Competence determination and territorial referral,Referred to the Arrecife-area Fiscalía; destination reference/outcome not located,Official inhibition/referral notified 10 Aug 2026,,,,VERIFIED_PRIMARY_COPY,"Official Fiscalía de la Audiencia Nacional referral notification dated 10 Aug 2026",archive/HANDOVER_MF_FISCALIA_FIRST_FRAME_JUSTICE_MAP_15AUG2026.md,"Destination reference, assigned fiscal, complete transmitted corpus, diligences and decision",PUBLIC_SUMMARY_WITH_PROCEDURAL_LIMITS,2026-08-31,"CAEPR PD-SP-R-0031 (^); EG/GUB/Exp. Gub. are reconciled aliases of one file; referral is not a merits decision."
LZ-TUR-008,LZ-TUR-008,INSPECTION_ACT,TRUE,ADMINISTRATIVE_PERIMETER,Tourism,Lanzarote,Tourism authority,Tourism authority,Inspection Act 027951/2012,,,2012,Sun Park / operator / title / works / transparency perimeter,Tourism/operator inspection,Located in operator-history work,,,,,CORPUS_REPORTED_PRIMARY_PENDING,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,"Certified act, annexes, inspected entity/capacity and follow-up",INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
LZ-TUR-009,LZ-TUR-009,ADMINISTRATIVE_FILE,TRUE,ADMINISTRATIVE_PERIMETER,Tourism,Lanzarote,Cabildo de Lanzarote,Cabildo de Lanzarote,GE-014212/2014,,,2014,Sun Park / operator / title / works / transparency perimeter,Tourism filing concerning Owners' Community,Filing located; outcome not verified,,,,,CORPUS_REPORTED_PRIMARY_PENDING,,archive/SUN_PARK_COMUNIDAD_PROCEEDINGS_REGISTER_CANARY_ISLANDS_15AUG2026.md,Decision/entry caused by filing or negative certification,INTERNAL_KNOWLEDGE_REGISTER_NOT_AUTO_PUBLISHED,2026-08-16,
