"Gap ID","Event / claim","Expected legal, factual or accounting chain","Currently proved","Exact break","Competing explanations","Decisive missing evidence","Probable holder / retrieval route","Conclusion if proved","Conclusion if disproved / absent","Priority","Status","Evidence label","Contradiction rank"
"G001","Completeness of judicial corpus","Certified docket → every filing/act/service/appeal → terminal disposition","Many major acts are controlled","No certified denominator; sections/incidents incomplete","Missing acts may confirm, qualify or contradict current negatives","Certified event log and sealed file export for all sections","Court, procuradora, counsel","reliable completeness and finality map","all negative findings remain corpus-limited","P0","OPEN","UNRESOLVED","C"
"G002","Source authenticity and custody","Original/native binary → signature/CSV validation → full hash → immutable copy","Output hashes match; some source IDs/links exist","Most source binaries lack full hashes/validation; S30 hash conflict","Copies may be equivalent, derivative, incomplete or altered","Source export manifest, signature-validation reports, page images, full hashes","Gmail/Drive custodians, court, notary; controlled export","reproducible source layer","affected quotations/metadata downgraded","P0","CONTROL DEFECT","UNRESOLVED","C"
"G003","One proposition per evidence label","Document → exact statement → truth/legal-effect classification","Narrative often makes the distinction","CSV collapses these levels","Reader may overread a party statement as fact","Normalised claim table with speaker, statement, receipt, truth and effect fields","Repository/evidence team","machine-safe conclusions","publication automation remains risky","P0","CONTROL DEFECT","UNRESOLVED","C"
"G004","LPB estate at declaration and roll-forward","Updated inventory → definitive texts → additions/removals → plan → realisations/recoveries → final accounts","Original 1 Jun 2012 debtor inventory and complete 15 Jan 2013 AC Article 75 report are now controlled, alongside opening and plan figures.","Definitive certified inventory, 159/171 reconciliation, estate roll-forward, realisations, recoveries, write-offs and final accounts remain absent.","Market decline, ownership corrections, impairment, prior disposal, non-recovery or accounting error","All inventories, ledgers, valuation reports, bank records, write-offs and final accounts","Court, AC, accountants, banks","explainable estate change","unexplained loss/omission requiring responsibility analysis","P0","PARTIAL","UNRESOLVED","C"
"G005","AC identity and authority chronology","Appointment → acceptance → any substitution/removal → liquidation authority → final account","S01 reportedly appoints Francisco de Borja; later acts name him","Acceptance/substitution chronology not controlled; repo formerly named another person","Stale digest error or distinct earlier/later appointment","Opening acceptance, appointment changes, professional file","Court, AC, former counsel","continuous authority","acts require representative-authority review","P0","PARTIAL","UNRESOLVED","A"
"G006","Bankia→SAREB transfer","Loan/mortgage deed → statutory/contract assignment schedule → Registry/court recognition for every charge","Finca 8751 sample Registry chain","Portfolio schedules and all-finca matching absent","Valid portfolio transfer; partial/nonmatching schedule; clerical variation","Deeds, SAREB schedules, certified Registry tracts","SAREB, notary, Registry, court","first succession link complete","affected credit/title chain breaks","P0","PARTIAL","UNRESOLVED","C"
"G007","SAREB→PH122 transfer and court status","Assignment deed/schedule/price → Registry entries → court substitution/finality","Finca 8751 sample and later references","Full schedule/economics and reported 2015 court act not controlled","Valid full transfer or incomplete/nonmatching portfolio evidence","Protocol 6851, schedule, price/payment, 2015 act/service","SAREB, PH122, notary, court","PH122 holder status asset-wide","CAM's predecessor chain affected","P0","PARTIAL","UNRESOLVED","C"
"G008","PH122→CAM legal-person and credit transfer","Protocol 2248 + powers/CIF + schedule + price/payment → AC verification → court recognition/finality","A 15 February 2018 holder-substitution Auto under current repository control, sample Registry chain, Registry transmission certification, PH122 balance certificates and a seven-page tail of Protocol 2248 are controlled. The earlier 8/9/14-February date layers are superseded pending direct source reinspection.","The substantive 14-folio Protocol 2248 terms, price/payment, full schedule, powers, AC verification, exact date-layer authentication and finality remain absent.","Valid assignment with confidential economics; incomplete production; entity mismatch","Complete three-page Auto, Protocol 2248 and annexes, corporate certification, AC report, service/appeal","CAM, PH122/Haya, notary, court, AC","CAM was valid holder of scheduled credit","creditor standing/consideration chain requires correction","P0","PARTIAL","UNRESOLVED","C"
"G009","Recognised credit to deed consideration","€9,052,251.69 definitive credit → lawful interest/cost accrual → classification → payoff → €13,168,082.02 compensation","Recognised amount, PH122 certificates, Protocols 869/870 balances, mortgage-cap rulings, threshold and deed recital are controlled.","The €4,115,830.33 recognised-credit-to-deed bridge lacks a source-system, legally classified final payoff and AC closing entry.","Lawful post-concurso secured accrual to caps; threshold was used as payoff without full allowance; component error","Day-by-day loan ledger, mortgage deeds, certificates, court orders, AC closing entry","CAM/Haya, AC, court, notary","deed consideration lawfully compensable","excess/unclassified set-off and remedies must be analysed","P0","OPEN","UNRESOLVED","B"
"G010","Debt micro-arithmetic","Each component/date/source → reconciled change log","€30, €626.19 and €102,895.34 issues identified","Ordinary/default components change across 4 Jun, AP, 2021 and deed; workpapers conflict","OCR/typographical error; reclassification to mortgage caps; unproduced calculation","Native 4 Jun/AP copies, 17 May acts, 2020 cap support, payoff","Court, creditor/servicer, AC","all numbers reconciled","source or deed arithmetic/functional inconsistency remains","P0","OPEN","UNRESOLVED","B"
"G011","Valuation perimeter and discontinuity","Exact appraisal → date/method → finca schedule → later appraisal on same basis","Connected ACTÚA copies/sections show a 262-finca functional appraisal at €9,776,003.13; a repository-controlled GESVALT ECO lead records €25,647,179.50, occupied/finished and a 262-unit perimeter.","The exact filed ACTÚA Annex I, complete signed/visado ACTÚA and GESVALT packages, instructions and matched schedules are not controlled together.","Different dates/perimeters/methods; market/works uplift; misdescription","Filed ACTÚA Annex I, all later appraisals, schedules and instructions","AC, CAM, valuers, court, RICPE, tax authorities","explainable valuation delta","material unexplained valuation discontinuity","P0","PARTIAL","UNRESOLVED","B"
"G012","Annex II list defect","Signed offer schedule → formal correction/acceptance → identical court/deed schedules","Original duplicates 8579 and omits 8519; later list is corrected","No formal correction/assent identified","Obvious clerical error accepted later; substantive unilateral scope change","Rectification, submissions, hearing record, acceptance and schedule diff","CAM, AC, court, notary","corrected scope validly adopted","8519 authority/consideration and 8579 duplication questioned","P0","OPEN","UNRESOLVED","B"
"G013","159-finca LPB title at closing","Inventory/title note → approval list → deed list → certified Registry entry","Original debtor and AC schedules, judicial/deed schedules and one Registry sample entry are controlled.","No certified title/charge tract for all 159; no automated set diff","All were LPB-owned and registered; isolated defects or occupations existed","159 certified historic tracts, CRUs, deed schedule and set comparison","Tías Registry, notary, AC","property chain closes for 159","identify each failed finca and consequence","P0","PARTIAL","UNRESOLVED","C"
"G014","Full Sun Park property universe","Horizontal division + 220 apartments + commercial/common fincas + 262 research rows → owner by date","Several counts and samples exist","159/220/31/251/262 and 54/190/18 claims not reconciled","Different universes, dates, physical vs Registry units, post-division changes","Horizontal-division titles/amendments, complete Registry export, cadastral/architect crosswalk","Registry, Cadastre, notary, Community, architects","exact denominator and owner map","generic whole-hotel claims remain untestable","P0","OPEN","UNRESOLVED","B"
"G015","Matkator/third-party title chain","Owner deed/Registry → inventory → plan → deed/Registry → present use/claim","8584/8588 notes and omission; 8587/8497/8498 leads","Current certified title, physical mapping and use authority absent","Matkator retained title; later private transfer/lease; mapping error","Certified tracts/deeds, unit crosswalk, contracts, current records","Registry, Matkator, notaries, operators","bridge may exist","title remains outside LPB chain and use needs separate basis","P0","OPEN","UNRESOLVED","B"
"G016","Ob-rem/common-element topology","Horizontal title → ob-rem links → attempted desvinculación → Registry qualification → later status","S35 identifies an obstacle; 159 deed conveys appurtenances generally","Exact links and cancellation outcome absent","Rights travelled with apartments; separation failed; later cure occurred","Registry qualification, title/amendments, all relevant entries/deeds","Registry, notary, court","exact rights travelling with each finca","later control claims exceed appurtenant rights","P0","OPEN","UNRESOLVED","B"
"G017","Control before 7 June 2018","Operator/owner/AC/CEXP records → keys/security/staff/bookings/income baseline","Concurso/liquidation authority known; reported Pink 2017 departure lead","Actual operator and possession immediately before event not established","LPB/AC/CEXP control; fragmented owners; operational vacuum; Pink residual wind-down","AP 13 Nov 2018 order, contracts, booking/staff/security/bank records","Related court, Pink/CEXP/AC, operators","exact change measurable","“takeover” narrative must be reframed","P0","OPEN","UNRESOLVED","B"
"G018","7 June 2018 event fact and scope","Timestamped act → actor → each finca/right → conduct → duration → benefit","Party/repository materials support a material event; no order found","No controlled event ledger or primary evidence index row","Limited security/access event; lawful co-owner action; broader takeover; multiple dates","Emails, videos, police/notarial acts, access logs, witness records, contracts","Parties, security, police/notary, Gmail/Drive","event can be authority-tested","date/scope allegation must be corrected","P0","OPEN","UNRESOLVED","B"
"G019","Non-judicial authority for 2018–2021 control","Owner consent/lease/Community resolution/licence → specific right and unit → act","CAM said it owned 54 units and relied on Community decisions; court did not decide","Underlying deeds, resolutions, quorum, presidency, contracts and consents missing","Valid private authority for some acts; invalid/disputed Community authority; no authority for third-party units","54-unit title pack, Community/CEXP books, security/operator agreements, consents","CAM, Community/CEXP, owners, Registry, administrators","absence of court order may be immaterial for specified acts","unbridged control/use remains","P0","OPEN","UNRESOLVED","B"
"G020","Exploitation and economic benefit 2018–2022","Licence/operator → bookings/revenue → costs/tax → owner/estate distributions","Later operation/marketing is alleged; some court knowledge of assertions","No euro-by-euro income, expense, tax or beneficiary ledger","No operation; limited management; revenue held for Community/owners; private capture","Bank, booking, PMS, tax, payroll, supplier, utility and management records","Operators, CAM/HNT, Community/CEXP, tax authorities, banks","economic beneficiary quantified","current benefit narrative unsupported","P0","OPEN","UNRESOLVED","B"
"G021","Protocol 2150 authority at execution","Plan authority + valid publicity/finality → direction → deed","Deed 28 Nov; LAJ direction 12 Dec; later refusal to convalidate","No prior act shown authorising execution on 28 Nov","AC interpreted plan as sufficient; court direction was administrative confirmation; transaction premature","Complete publicity/finality/testimony package and legal analysis","Court, AC, notary, parties","2019 reasoning must be reconciled","transaction was unauthorised at execution as court held","P0","PARTIAL","UNRESOLVED","B"
"G022","€400,000 cash chain","Buyer debit → cheque clearance → LPB credit → expenses/creditors/tax → balance/restitution","Deed recital and AC contemporaneous report","Independent bank and final post-nonconvalidation ledger absent","Funds paid/applied and retained; reversed/refunded; set off; partly dissipated","Cheque, both bank statements, journal, invoices, tax and restitution records","CAM, AC, estate bank, court, tax authority","final destination euro by euro","shortfall/misapplication issue arises","P0","PARTIAL","UNRESOLVED","B"
"G023","Locales title after nonconvalidation","2019 refusal/2020 finality → 2021 approval → legally sufficient adoption/new deed → Registry/tax","Refusal and later proposal approval; Protocol 457 omits 31 fincas","No post-2021 conveyance/ratification or full Registry history","Old deed remained effective inter partes; later approval cured it; fresh deed exists; transfer failed/reversed","2021 submissions, fresh instrument, tax and 31 certified tracts","Court, notary, Registry, CAM, AC","title chain closes on stated basis","CAM/HNT locale title/possession remains unbridged","P0","OPEN","UNRESOLVED","B"
"G024","Publicity and better-offer validity","Publication orders → actual publications → last-date calculation → service → offer window","Orders/edict exist","Receipts, media copies, computation and all service logs absent","Valid complete publicity; incomplete or miscomputed publication","2018/2021 publication and service bundles","Court/LAJ, RPC, media, parties","competition route procedurally evidenced","validity/remedy requires legal analysis","P0","OPEN","UNRESOLVED","B"
"G025","third-party bidder offer and competition","Executed offer/powers/funds → filing → qualification → bond → appearance → minute/AV → default","Auto 164/2021 identifies third-party bidder, its €14.8m proposal, nonappearance and failure to lodge the bond; CAM was definitively approved.","The executed/stamped third-party bidder offer, authority, funds, service, hearing record and court deposit ledger remain absent.","Genuine but conditional offer; defective/nonbinding offer; procedural failure after valid notice","Complete offer pack, LexNET, bank/funds, AV/minute, deposit account","Court, third-party bidder, AC, parties","actual competition and default","“real competition” claim must be qualified","P0","PARTIAL","UNRESOLVED","B"
