item_id,period,workstream,client_or_entity,knowledge_or_instruction,action_located,action_status,follow_through_question,limiting_or_contrary_evidence,production_request,current_do_over_action,public_safe_wording
CUAT-01,2014–2017,"Historic mandate and billing baseline","Aweswell is strongly supported as client in the controlled billing/mandate record; LPB appears in a limited number of invoices and as central subject/beneficiary; Matkator status varies by workstream","Refinancing, concurso, Community, litigation and asset context developed over time","Substantial advisory work and billing are documented on the existing Cuatrecasas page","action located; entity-by-entity scope still to reconcile","Which entity instructed, benefited from and owed each task, and what protection was within each mandate?","A group relationship does not make every entity the client or debtor; invoice addressee, retainer and work product must control","Engagement letters, corrections/reissues, invoices, time records, payment ledger and client/matter list","Complete client/mandate/invoice matrix; preserve Aweswell, LPB and Matkator distinctions","The historic relationship was substantial, but client identity and scope must be proven workstream by workstream."
CUAT-02,January–February 2018,"Pre-event possession, security and title risk","Aweswell; LPB central subject; Matkator and other group/property interests notified","Keys, access, mixed title, security, possession and rescue financing were active risks before June","Personation, executive reporting, financing and protection advice are described","action located; emergency implementation to test","Were warnings converted into a documented entity/title/access matrix, emergency plan and decision ledger before 7 June?","Not every client concern was accepted; counsel could not control the AC, Court, private actors, operator or funders","Native correspondence, instructions, advice, draft/final filings, meeting notes and decision log","Reconstruct risk-to-remedy chronology and identify client decisions","Cuatrecasas had pre-June risk visibility; that does not prove a duty to pursue every remedy or success if pursued."
CUAT-03,April–May 2018,"Formal transaction/due-diligence mandate","Aweswell is documented as client; LPB and hotel/concurso were transaction subjects","Financing, due diligence, guarantees, ONA and exit from concurso were integrated","Formal proposal, DD and transaction work are documented","action located","Did the DD expressly test deliverability against Community control, possession, keys, Matkator/CEXP rights and AC authority?","The formal proposal may have been narrower than the wider practical work; financing was conditional","Accepted proposal, DD reports, red flags, conditions precedent, title/possession schedules and distribution list","Create DD issue ledger and reliance map","The mandate was real and integrated; its exact protective perimeter and reliance require the native files."
CUAT-04,18 May–7 June 2018,"Community/security and material-control event","Relevant group/client perimeter subject to exact mandate","The event affected possession, access, operation and transaction deliverability","Post-event analysis and protection work are described on the current page","partly located; immediate remedy and result to map","What urgent Court, Registry, police, notarial, possession, operator or evidence-preservation steps were advised and executed?","Counsel was not the office-holder and could face instruction, proof, jurisdiction and timing constraints; Arrecife matter was provisionally dismissed","All advice, filings, instructions, client responses, notarial/security materials and outcome records","Build 72-hour, 30-day and continuing response audit","The event required legal response; absence of a currently located document is not proof that no advice or action existed."
CUAT-05,12–26 June 2018,"Stoneweg/Varia and suspension boundary","Aweswell/LPB transaction perimeter; exact parties to instruments must control","A funded-exit package and subsequent suspension affected timing, value and deliverability","Transaction and litigation work are described","action located; interaction between offer and suspension to reconcile","How did counsel protect the offer, assets, conditions and appellate/Registry position after the suspension?","No offer was guaranteed to close; Court decisions, funding, client and counterparty choices matter","Signed offer package, conditions, funding evidence, suspension order, advice and closing ledger","Create opportunity-preservation and causation matrix","The offer is relevant evidence of an alternative route, not proof of certain completion or a guaranteed outcome."
CUAT-06,28 November 2018,"Deed/transaction lane","Client and affected assets subject to instrument-specific proof","A transaction occurred or was said to occur while suspension and linked-asset issues were material","Cuatrecasas later took Registry-facing action","action located after event; pre-event role to verify","What did counsel know before completion, what warning was given, and what immediate steps followed?","Counsel may not have drafted, authorised or controlled the transaction; exact knowledge date and mandate matter","Complete deed, correspondence, notice, advice, drafts, powers, payment and Registry file","Disaggregate each transaction and place counsel action against exact knowledge date","Later protective action does not establish prior knowledge or control; it does establish that a serious issue was recognised."
CUAT-07,28 December 2018,"Tías Property Registry communication","Aweswell/LPB-facing protection, subject to original retainer and authority","Risk concerning CAM-facing acquisition, liquidation plan, suspension decisions and ob rem links was recognised","Formal Registry intervention seeking negative qualification or cancellation is described","protective action located; original and outcome pending","Was the Registry step followed by Court relief, restitution, accounting, AC accountability and preservation of non-LPB rights?","This action rebuts total-inactivity claims; privilege and exact wording must be preserved","Original communication, annexes, Registry receipt/qualification, client authority, follow-up and outcome","Use as benchmark for AC response and counsel follow-through; do not publish privileged text without review","Cuatrecasas took at least one formal protective step. The remaining question is breadth, urgency, continuity and implementation."
CUAT-08,20 March–24 October 2019,"AC convalidation request and later decision","Affected client/entity per instrument and proceeding","The transaction entered an express judicial convalidation/implementation lane","Favourable or protective work and communications are described on current page","action partly located; implementation to reconcile","What did counsel file or advise in response, and what did it do after the 24 October decision to secure practical effect?","A favourable decision is not self-executing in every Registry, possession, contract or accounting dimension","Filed versions, service, advice, Registry instructions, enforcement/restoration steps and outcome","Create decision-to-implementation checklist","The sustainable criticism, if supported, concerns implementation and continuity—not a claim that no favourable action occurred."
CUAT-09,July–October 2019,"Integrated rescue architecture and reopening/continuation of work","Aweswell, LPB and Matkator are all described in the architecture; formal client status remains task-specific","Rescue, consignation, ONA, repairs, minority purchases, guarantees, refinancing or sale were considered together","Detailed architecture and substantial work are documented","action located; completion and responsibility for conditions to map","Who owned each condition, what blocked implementation, and what deadlines or remedies were protected?","Cuatrecasas could not guarantee financing, Court approval, operator action, third-party sale or client funding","Conditions ledger, task owners, warnings, deadlines, client instructions and final outcomes","Create closure/condition matrix and counterfactual analysis","The architecture shows end-to-end knowledge; failure to complete requires causal allocation, not assumption."
CUAT-10,2020,"Withdrawal and handover","Each active client/matter must be identified","Continuity became critical for pending rights, evidence, appeals and implementation","Some handover and file-transfer activity is described","action partly located; completeness pending","Did successor counsel receive a complete indexed file, deadlines, work product, models and unresolved tasks?","A client dispute, unpaid fees, privilege, storage or scope issues may affect handover; no inference should precede the record","Termination correspondence, handover index, acknowledgements, missing-item log, deadlines and successor evidence","Create complete custody and continuity register; seek cooperative file reconciliation","The handover must be tested document by document; an incomplete current corpus is not proof of professional abandonment."
