item_id,period,workstream,client_or_entity,source_status,knowledge_or_material,action_located,action_status,open_question,limiting_or_contrary_evidence,production_request,current_do_over_action,public_safe_wording
JTP-01,Historic relationship,"Client and retainer identification","Aweswell, LPB or another group/entity capacity must be proven matter by matter","document pending; correspondence and references exist in wider controlled corpus","Past involvement in LPB/concurso-related legal matters is described","No complete master retainer has yet been matched in this branch","document pending","Who was the client, on what dates, for which proceedings and with what authority?","A lawyer communicating about LPB or the concurso is not automatically retained by every group company","Engagement letters, conflict checks, powers, matter-opening records, termination and client ledger","Build client/mandate/proceeding matrix before any substantive attribution","The current task is to identify the mandate accurately; no professional-liability conclusion is stated."
JTP-02,2016,"Community debt, authority and supporting documentation","Entity and proceeding to be verified","correspondence trail and document-transmission references; originals to control","The wider record shows that Juan Tomás received or was sent material concerning the Community-credit dispute and pending proceedings","Document receipt is described; complete review/advice/filing record not yet located","supported but incomplete","What documents did he receive, what advice did he give and what protective step followed?","Receipt does not prove acceptance, a duty to act beyond mandate or failure to act","Complete email thread, attachments, advice, drafts, filed versions, diary and billing","Create document-to-advice-to-action ledger","The file should show what was received and what followed; absence from the current corpus is a custody gap."
JTP-03,2016–2017,"Concurso, Community claim and litigation coordination","LPB/Aweswell or other entity to be established","document pending; related proceeding records exist","Community debt, voting and pending civil proceedings affected the concurso","No complete proceeding-by-proceeding action register is yet available","document pending","Did counsel ask the AC or Court to verify, classify, reserve or reconcile the disputed Community claim?","Other counsel may have held primary conduct; the AC and Court had distinct roles; procedural options may have been limited","Pleadings, court notices, instructions, hearing notes, appeals and coordination communications","Map each proceeding, lead counsel, relief sought and result","The question is the scope and action of this mandate, not whether counsel controlled the insolvency process."
JTP-04,2018,"Asset protection, liquidation and control events","Affected entity/asset to be proven","references in wider corpus; primary file required","2018 events implicated title, possession, Community authority, liquidation, Registry and value","No complete Juan Tomás emergency-response package has yet been located","no responsive action yet located; production required","What was counsel told, when, and what urgent or preservation action was advised or taken?","No inference should be drawn before establishing whether he was retained, instructed or still acting in the relevant workstream","Native instructions, advice, filings, communications with AC/Court/Registry, and client responses","Create 2018 knowledge/action chronology and assign each lawyer's actual mandate","The current corpus does not justify saying that Juan Tomás did nothing; it justifies a finite production request."
JTP-05,2018–2019,"Valuation, active estate and recovery materials","Client and purpose to be verified","Gmail and archive trails previously identified; byte-level source recovery may still be required","Material concerning the active estate, valuations and later complaints was circulated among lawyers","Some document transmission is described; authorship, use and resulting action remain incomplete","supported but incomplete","Did counsel commission, use, file or transmit any economic or expert report relevant to LPB, Sun Park or Arrecife?","Possession of a report does not establish commission, client, payer, filing or reliance","Complete files, archive contents, cover emails, invoices, expert engagement and court index","Recover inaccessible archives; register every report and commissioning/custody role separately","Commissioner, client, payer, intermediary, recipient and later user must not be collapsed."
JTP-06,2018–2019,"Deeds, locales, Registry and convalidation sequence","Entity and transaction to be proven separately","document pending; transaction chain described elsewhere in repository","The 28 November transaction, Registry issues and 2019 convalidation lane were material to the wider matter","No complete Juan Tomás transaction/action register has yet been matched","document pending","Was he instructed on any deed, locales sale, Registry step, AC filing, objection, appeal or restitution issue?","The deed, locales lane, alleged 31-finca lane and later adjudication are not interchangeable; another firm may have had conduct","Engagement, instructions, deed drafts, filings, advice, powers, invoices, outcome and handover","Disaggregate workstream and identify exact legal instrument before attribution","No payment, benefit or responsibility should be attributed without the primary transaction and accounting record."
JTP-07,2019–2022,"Ongoing concurso and appeals","Client/proceeding to be verified","court and correspondence sources pending consolidated review","Later liquidation, adjudication and accountability issues required continuing legal decisions","No consolidated filing/result inventory for Juan Tomás is yet present","document pending","Which proceedings, if any, did he continue, hand over, appeal or close, and with what result?","Counsel may have ceased acting, shared conduct or lacked instruction/funding; exact dates and notices matter","Court dockets, filed pleadings, service, withdrawal/substitution, deadline log and client instructions","Create proceeding-specific responsibility and continuity matrix","The repository should state only the actions and outcomes proved by filed or native records."
JTP-08,Historic billing,"Invoices, receipts and payments","Payer and beneficiary must be verified separately","document pending; user has requested invoice/receipt recovery","Professional services and any payment trail may clarify mandate and custody","No verified invoice/receipt ledger has yet been added to this branch","production pending","What was invoiced, to whom, for which matter, and what was paid by Aweswell or another entity?","An unverified recollection or third-party statement is not proof of payment, amount, debtor or service","Invoices, receipts, bank records, accounting ledger, tax entries and account-manager contact","Seek cooperative invoice/receipt production and reconcile to entity accounts","Do not state an amount or payer until the native invoice and payment evidence are matched."
JTP-09,End of mandate,"File transfer, withdrawal and continuing custody","Each client/matter to be identified","document pending","The historic file may contain pleadings, reports, emails, court records and accounting evidence now required","No complete handover or custody index has yet been located","production pending","What originals or copies remain, what was transferred, and to whom?","Professional retention, privilege, data protection and destruction policies may lawfully affect custody","Termination correspondence, handover index, acknowledgements, archive policy and current custodian","Request a structured file index and cooperative transfer under privilege controls","The objective is evidence preservation and continuity, not public accusation."
JTP-10,Present,"Cooperation and right of response","Former-client/entity rights subject to verification","future action","A reasoned account could clarify mandate, action, documents, limitations and custody","No present structured response is recorded in this branch","future action","Will counsel identify his role, supply the file and direct the client to the accounting custodian where necessary?","Conflicts, privilege, professional rules and disputed recollections require a finite and respectful process","Specific document schedule, conflict response, custodian details, file export and invoice route","Use a cooperative, evidence-specific request before escalation; preserve all responses","The present programme seeks a verifiable record and corrective cooperation, without prejudging liability."
