photo_id,source_drive_id,pdf_page,embedded_image,category,visual_condition,operational_indicator,block_candidate,finca_candidate,owner_candidate,geolocation_confidence,blocks_4_5_status,later_cam_acquisition,status,next_step
ACTUA-PHOTO-001,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,16,img-001.jpg,EXTERIOR_APARTMENT_WING,NEGATIVE,"fence/restricted-looking exterior; does not establish occupancy",UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNPROVEN,UNKNOWN,OPEN,"Geolocate façade orientation and fence"
ACTUA-PHOTO-002,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,17,img-003.jpg,SERVICE_OR_COMMON_AREA,NEGATIVE_MIXED,"dark service/common area",UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNPROVEN,UNKNOWN,OPEN,"Identify service/local geometry"
ACTUA-PHOTO-003,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,17,img-004.jpg,EXTERIOR_CORRIDOR,NEGATIVE_MIXED,"clutter/maintenance objects; building fabric appears intact",UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNPROVEN,UNKNOWN,OPEN,"Use arches/columns/path orientation"
ACTUA-PHOTO-004,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,17,img-005.jpg,CENTRAL_COMMON_AREA,MIXED_POSITIVE,"landscaped paths/common space and intact façades",CENTRAL_OR_PERIMETER,UNKNOWN,UNKNOWN,MEDIUM,NOT_BLOCK_SPECIFIC,UNKNOWN,OPEN,"Match pool/path geometry"
ACTUA-PHOTO-005,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,18,img-007.jpg,COMMERCIAL_OR_ACTIVITY_FRONTAGE,MIXED,"activity/art frontage; not shown derelict",FRONT_OR_SERVICE,UNKNOWN,UNKNOWN,LOW,NOT_BLOCK_SPECIFIC,UNKNOWN,OPEN,"Identify local title/function"
ACTUA-PHOTO-006,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,18,img-008.jpg,COMMON_INTERIOR,NEGATIVE_MIXED,"stored items/clutter; structural fit-out remains",FRONT_OR_SERVICE,UNKNOWN,UNKNOWN,LOW,NOT_BLOCK_SPECIFIC,UNKNOWN,OPEN,"Compare reception/restaurant/service plans"
ACTUA-PHOTO-007,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,19,img-010.jpg,CAFE_BAR_COMMON_AREA,MIXED_POSITIVE,"counter/furniture/products visible; appears capable of use",FRONT_OR_SERVICE,UNKNOWN,UNKNOWN,MEDIUM,NOT_BLOCK_SPECIFIC,UNKNOWN,OPEN,"Identify bar/local"
ACTUA-PHOTO-008,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,19,img-011.jpg,COMMON_INTERIOR,NEGATIVE_MIXED,"stored items/clutter with intact fitted interior",FRONT_OR_SERVICE,UNKNOWN,UNKNOWN,MEDIUM,NOT_BLOCK_SPECIFIC,UNKNOWN,OPEN,"Determine exact local/finca"
ACTUA-PHOTO-009,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,20,img-013.jpg,COMMON_RECEPTION_CAFE_AREA,POSITIVE_MIXED,"people visibly present; direct evidence of presence at photographed moment",FRONT_RECEPTION_AREA,UNKNOWN,UNKNOWN,HIGH,NOT_BLOCK_SPECIFIC,UNKNOWN,OPEN,"Geolocate room and determine image provenance"
ACTUA-PHOTO-010,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,20,img-014.jpg,RECEPTION_FRONT_OFFICE,POSITIVE_MIXED,"intact reception/front desk with papers/equipment",RECEPTION,8536,LUCHY_PLAYA_BLANCA_AS_HISTORIC_LAYER,MEDIUM,NOT_BLOCK_SPECIFIC,UNKNOWN,OPEN,"Confirm finca8536 linkage and date/use"
ACTUA-PHOTO-011,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,21,img-016.jpg,APARTMENT_INTERIOR_BATHROOM,NEGATIVE_MIXED,"worn/dirty bathroom; substantial fit-out intact",UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNPROVEN,UNKNOWN,OPEN,"Identify apartment; do not assume Blocks4–5"
ACTUA-PHOTO-012,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,21,img-017.jpg,APARTMENT_INTERIOR_KITCHEN,NEGATIVE,"kitchen partly stripped/damaged",UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNPROVEN,UNKNOWN,OPEN,"Test same apartment as 011/013"
ACTUA-PHOTO-013,1I007yqfjxMtOKDU13c3JoP_MzmLW3K-5,21,img-018.jpg,APARTMENT_INTERIOR_LIVING_ROOM,NEGATIVE_MIXED,"worn/damaged/dirty living area; furniture/glazing remain",UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNPROVEN,UNKNOWN,OPEN,"Test same apartment as 011/012"
