archive_id,rank,archive_name,source_date,size_bytes,source_channel,relevance,byte_access_status,inspection_status,priority,deletion_state,next_action
GMAIL-ZIP-001,1,8. Informes Periciales.zip,2019-08-01,16075159,historic Gmail attachment metadata,Covering email expressly says the requested files were attached together with forensic reports and complaints. Exact target period and report-focused filename.,not_accessible,metadata_only_not_opened,immediate,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-002,2,Fiscalía.zip,2020-04-05,21153250,historic Gmail attachment metadata,"Covering email says Fiscalía complaints were sent together with the expert reports. Three separately attached Four Mirror reports are excluded, so the ZIP may preserve further reports or annexes.",not_accessible,metadata_only_not_opened,immediate,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-003,3,COMUNIDAD.zip,2020-06-26,23413287,historic Gmail attachment metadata,Covering email says this is the material concerning the Community credit and variable quantifications—the most likely subject lane for the missing economic/audit report.,not_accessible,metadata_only_not_opened,immediate,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-004,4,AC-CAM.zip,2020-03-10,16117010,historic Gmail attachment metadata,"Covering email describes orders, AC and CAM appeals/submissions, statements and complaints. A report used in Arrecife or by/around the AC could be embedded as an annex.",not_accessible,metadata_only_not_opened,immediate,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-005,5,Ampliación Fiscalía.zip,2019-01-10,22692319,historic Gmail attachment metadata,Exact 2018–2019 period; sent with documents about Arrecife statements and CAM conversations in advance of discussion concerning the concurso judge.,not_accessible,metadata_only_not_opened,high,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-006,6,ADMINISTRACION.zip,2019-12-07,16681438,historic Gmail attachment metadata,"Historic administration/Community evidence sent to a lawyer, with a 2008–2018 history. Generic archive title may conceal accounting or technical annexes.",not_accessible,metadata_only_not_opened,high,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-007,7,MASA ACTIVA (1).zip,2018-11-26,16849917,historic Gmail attachment metadata,Recipient expressly asks about the asset-valuation incident; archive concerns the state/effect on LPB’s active estate in the target period.,not_accessible,metadata_only_not_opened,high,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-008,8,MASA ACTIVA (2).zip,2018-11-26,16622075,historic Gmail attachment metadata,Second half of the same active-estate/valuation production; may contain report annexes omitted from part 1.,not_accessible,metadata_only_not_opened,high,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-009,9,Documentación Solicitada Concurso LPB.zip,2018-11-23,23834971,historic Gmail attachment metadata,"Broad, contemporaneous concurso document production immediately preceding the MASA ACTIVA packages; plausible container for generically named expert or accounting material.",not_accessible,metadata_only_not_opened,high,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-010,10,Fiscalía 02JAN2019.zip,2019-01-10,23795311,historic Gmail attachment metadata,"Large Fiscalía bundle from the exact period, tied to CAM conversations and the Arrecife/fiscal track.",not_accessible,metadata_only_not_opened,high,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-011,11,JOAQUIN - Fiscalía 02JAN2019.zip,2019-01-03 / 2019-01-04,23794611,historic Gmail attachment metadata,Near-identical Fiscalía production to an outside lawyer; may preserve a variant or unindexed annex.,not_accessible,metadata_only_not_opened,high,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-012,12,JOAQUIN - Fiscalía 04JAN2019.zip,2019-01-04,23795277,historic Gmail attachment metadata,Updated/variant Fiscalía package sent to Joaquín; exact date and outside-lawyer route align with the user’s recollection.,not_accessible,metadata_only_not_opened,high,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
GMAIL-ZIP-013,13,fwdinformecalificacinborjalucyplayablanca.zip,2019-05-24,17429357,historic Gmail attachment metadata,"Concerns Borja’s qualification report and supporting evidence, within the target period; could include an economic report used to support or rebut the AC position.",not_accessible,metadata_only_not_opened,medium_high,not eligible,"recover an accessible copy, hash it, extract recursively, deduplicate, search, and update this register"
