event_id,date_or_period,event_or_instrument,legal_or_economic_lane,persons_or_entities_to_verify,source_status,what_it_supports,what_it_does_not_prove,do_not_merge_with,controlling_documents_required,AC_protection_question,lawyer_follow_through_question,current_do_over_action
TX-01,18 May 2018,"Community meeting/security measure","Community governance; access/security","Community office-holders, Francisco Mario Matos Matas, security provider, LPB/AC representatives and payer","Community record and later witness/court descriptions; certified original pending","A Community/security decision preceded the June material-control event and is capable of actor-specific reconstruction","Final validity, criminal intent, authority over every area or causation of every later event","7 June physical event; 28 November deed; locales sale; alleged 31-finca lane; 2022 adjudication","Original minutes, notices, attendance, voting, authority, security contract, invoices, payer and communications","What did the AC request, authorise, limit, safeguard or review, and what assets were within LPB?","What urgent challenge, evidence-preservation or entity-separation step was advised and executed?","Create authority/vote/payer/security matrix and preserve certified sources"
TX-02,7 June 2018,"Material-control/access event","Possession; physical access; hotel operation; security","Each person present or instructing; CAM/Community/security/AC roles to prove separately","Witness, Community and Arrecife record described; complete certified file pending","A material-control sequence involving access, locks, chains/candados, security and exclusion requires explanation","Court-ordered CAM possession, final criminal finding, shared intent of every actor or transfer of civil title","18 May decision; later deeds; 2022 title/adjudication","Certified DP 1132/2018 and DI 248/2018 records, statements, images, access logs, locksmith/security records, inventories and contemporaneous communications","How were LPB assets protected and non-estate Matkator/CEXP/third-party rights excluded from any intervention?","What emergency Court, Registry, notarial, criminal, possession and operator steps were taken, by whom and with what result?","Build person-by-person act/authority/knowledge/benefit table and material-impact inventory"
TX-03,12 June 2018,"Stoneweg/Varia funded-exit package","Financing; transaction; exit from concurso; opportunity","Aweswell, LPB, Stoneweg/Varia, advisers, funders and AC/Court treatment","Controlled repository description; signed offer package and funding evidence should control","A potentially viable funded route existed close in time to the 2018 events and may inform value, timing and protection analysis","Certain closing, acceptance, unconditional funding or proof that later events alone caused non-completion","ONA/Elaia/Lagoon alternatives; 26 June suspension; remate; 2022 adjudication","Signed offer, attachments, funding confirmation, conditions, approvals, communications and decision ledger","Did the AC independently assess the estate benefit, preserve deliverability and explain acceptance or non-use?","Did counsel protect conditions, title, possession, Registry and timing sufficiently to maintain the route?","Create transaction-condition/counterfactual matrix and avoid guaranteed-outcome language"
TX-04,26 June 2018,"Judicial suspension","Insolvency realisation; judicial boundary","Court, AC, parties and affected assets","Official order described; certified complete order and asset schedule required","A suspension boundary existed for specified realisation activity","Effect on every asset, transaction or person; automatic nullity of later acts","28 November deed; alleged 31-finca transfer; locales lane; 2022 adjudication","Certified order, service, asset schedule, reasons, later modification and implementation instructions","How did the AC implement, monitor and report compliance with the suspension?","What appeals, Registry notices, preservation steps and transaction warnings were filed?","Create asset-by-asset suspension scope and compliance register"
TX-05,July 2018,"Arrecife statements and investigation record","Criminal investigation; testimony; knowledge/capacity","Witnesses, investigated persons, AC, Community and CAM actors to distinguish","Court record and later summaries; certified full file required","Contemporaneous testimony identifies claims and explanations concerning access, security, authority and roles","Final merits, truth of every statement or guilt; the investigation was provisionally dismissed","Civil/insolvency validity; Registry acts; later adjudication","Complete certified statements, exhibits, orders, appeals and final/provisional status","What did the AC state, produce and preserve, and how did that align with estate accounts and later filings?","What use did counsel make of the statements in protective or appellate action?","Build statement/contradiction matrix and display the provisional dismissal prominently"
TX-06,28 November 2018,"Described deed or sale of linked/free assets for EUR 400,000","Deed; insolvency realisation; linked assets; proceeds","LPB/AC, CAM, notary, Registry, payer, recipients and advisers","Filed material and later judicial/Registry descriptions; original deed/payment required","A specific transaction requires analysis of authority, suspension, price, linked-asset effect and estate accounting","Identity with every locales or 31-finca transaction; criminality; invalidity in all respects","TX-07 locales lane; TX-08 alleged 31-finca lane; 2022 adjudication","Complete deed, powers, asset schedule, price/payment, bank and ledger records, tax, Registry and Court authority","What authority and estate-benefit analysis supported the transaction, where did proceeds go, and what safeguards applied?","What did each instructed lawyer know before and after, and what challenge or implementation followed?","Reconstruct one deed-level ledger and trace every euro and Registry effect"
TX-07,2018 date to verify,"Locales transaction / EUR 400,000 component","Commercial units/locales; proceeds; liquidation trigger","Exact seller, buyer, assets, price, AC role, client, advisers and recipient accounts","Related references exist; controlling original and date must be identified","A potentially distinct transaction may have had strategic effect on hotel functionality and later liquidation","Identity with TX-06, automatic 'golden trigger', payer/recipient, criminality or value without primary proof","TX-06 deed; TX-08 31-finca lane; remate; later adjudication","Deed, asset/Registry descriptions, payment, accounts, invoices, Court filings and decisions","How were strategic effect, price, proceeds and restoration accounted for?","Which lawyer acted for which entity, and what protective or advisory work was within mandate?","Keep as separate unresolved lane until instrument-level proof closes identity and accounting"
TX-08,2018 date to verify,"Alleged acquisition/transfer of 31 LPB fincas","Finca transfer; Registry; liquidation plan; suspension","LPB/AC, CAM, notary, Registry, advisers and creditors","Controlled Cuatrecasas/Registry description; original instruments and Registry history pending","External counsel treated a 31-finca CAM-facing acquisition as legally and Registry-significant","Exact completion, date, instrument identity, title effect, price, criminality or identity with TX-06/TX-07","TX-06 deed; TX-07 locales; 2022 adjudication","All deeds, nota simple/historical Registry records, powers, payment and Court/AC authority","What did the AC authorise, oppose, seek to regularise or later restore, finca by finca?","What did the 28 December Registry communication seek and what follow-through occurred?","Create finca-by-finca title/authority/payment/possession matrix"
TX-09,28 December 2018,"Cuatrecasas communication to Tías Property Registry","Registry protection; external counsel response","Cuatrecasas client and signatory, LPB/Aweswell authority, Registry, AC and CAM","Protective action described; original and privilege/publication review pending","At least one formal lawyer action and contemporaneous recognition of legal, suspension and linked-asset risk","That all counsel were inactive; that every remedy was pursued; liability of AC or private actors","Underlying deeds and Registry entries; later Court action","Original letter, annexes, filing proof, qualification/cancellation response and follow-up","If external counsel considered Registry intervention necessary, what parallel or superior protective action did the AC take?","Was the Registry step integrated into Court relief, restitution, accounting, non-LPB protection and handover?","Use as benchmark, not absolution; obtain original under privilege control"
TX-10,20 March 2019,"AC convalidation request","Insolvency procedure; attempted regularisation/approval","AC, LPB representation, CAM, Court and advisers","Described in 24 October 2019 decision; complete filing pending","Direct procedural link between AC and the 28 November transaction","Criminal intent, final approval or the complete rationale","Underlying transaction; later order; 2022 adjudication","Complete request, annexes, legal basis, service, opposition, accounts and Court file","Why was convalidation sought and how were estate benefit, suspension, price and proceeds explained?","What opposition, advice, appeal or implementation work followed?","Obtain filing and build issue-by-issue request/response matrix"
TX-11,24 October 2019,"Decision described as not convalidating the transaction","Judicial decision; implementation; restoration","Court, AC, parties, Registry and custodians","Official decision described; certified order required","The transaction required a post-decision implementation and continuing-effects analysis","Automatic restoration, universal nullity, final criminal finding or resolution of later adjudication","2019 implementation; 2021–2022 separate process","Certified order, operative part, service, Registry entries, restitution/accounting actions and later orders","What did the AC reverse, restore, cancel, account for or seek authority to retain?","What enforcement, Registry, possession, accounting or handover action did counsel take?","Create decision-to-material-effect implementation ledger"
TX-12,24 February 2021,"Liquidation extension order","Insolvency duration; recovery actions","Court, AC, LPB/Aweswell and bank/recovery parties","Official order identified in controlled corpus","Recovery actions and delay remained material before final realisation","Success, liability or completeness of all recovery action","2018 transaction chain; 2022 adjudication","Certified order, referenced claims, expected value, deadlines, reports and costs","How were recovery claims valued and integrated into estate and adjudication decisions?","What action did each lawyer take to preserve or pursue those claims?","Create claim-value-status ledger and compare to final estate accounts"
