id,date,act_type,actor_class,signatory_status,matter,source_status,key_locator
C36-JUD-2012-06-06-001,2012-06-06,Auto 158/2012,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Opening concurso,COMPLETE_COURT_COPY,"Gmail 163d0e6f6da5d4ed; SHA-256 04b0454f773e9d74ccd847d09f3e24a9be6b8f4431f6954baebc8ffa586f7139; opening AC Francisco de Borja Rodríguez-Batllori Laffitte"
C36-LAJ-2012-09-18-001,2012-09-18,Diligencia de Ordenación,LAJ,VERIFY,Document production,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.1P 99-100"
C36-JUD-2013-03-06-001,2013-03-06,Auto,MAGISTRADO,VERIFY,AC remuneration,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.1P 133-135"
C36-LAJ-2014-04-29-001,2014-04-29,Diligencia de Ordenación,LAJ,VERIFY,General docket,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.1P 311-312"
C36-LAJ-2015-03-30-001,2015-03-30,Diligencia de Ordenación,LAJ,VERIFY,AC liquidation request,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.1P 318"
C36-LAJ-2015-05-21-001,2015-05-21,Diligencia de Ordenación,LAJ,VERIFY,Debtor powers and documents,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.1P 321"
C36-LAJ-2015-11-20-001,2015-11-20,Diligencia de Ordenación,LAJ,VERIFY,Promontoria substitution,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.1P 328"
C36-JUD-2015-11-23-001,2015-11-23,Auto,MAGISTRADO,VERIFY,Garrigues creditor incident,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.1P 330-333"
C36-JUD-2015-11-24-001,2015-11-24,Sentencia,MAGISTRADO,VERIFY,Rent Monterecco Sun Park,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.1P 334-337"
C36-JUD-2016-04-01-001,2016-04-01,Sentencia,MAGISTRADO,VERIFY,Garrigues creditor incident,DISCOVERY_WORKBOOK,"Guión ProcConcursal T.1P 364-368"
C36-JUD-2018-04-16-001,2018-04-16,Auto,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Liquidation plan approval,CONNECTED_PRIMARY_COPY_LOCATED_ANNEX_SERVICE_OPEN,"restricted Drive locator withheld; 7 pages"
C36-JUD-2018-04-16-002,2018-04-16,Auto aclaratorio,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,CAM interest / mortgage maxima,CONNECTED_PRIMARY_COPY_LOCATED_HASH_SERVICE_OPEN,"Gmail 1963e7416170ea0b; restricted Drive locator withheld; does not resolve disputed earlier-order date"
C36-JUD-2018-06-04-001,2018-06-04,Auto aclaratorio,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Liquidation-plan conditions,CONNECTED_COMPLETE_THREE_PAGE_COPY_HASH_NOTIFICATION_OPEN,"Gmail 194a98a11920fefd; 20180604 Auto Aclaracion Auto Aprobacion Plan Liquidacion.pdf"
C36-LAJ-2018-06-15-001,2018-06-15,Diligencia de Ordenación,LAJ,AGUEDA_REYES_ALMEIDA,Publicity and better-offer implementation,CONNECTED_PRIMARY_COPY_LOCATED_PUBLICATION_SERVICE_OPEN,"Gmail 167c817fdf0b45e0; 10. Diligencia Notificación Liquidación 15JUN2018.pdf"
C36-JUD-2018-06-26-001,2018-06-26,Auto,MAGISTRADO,ALBERTO_SUPPORTED,Suspension of realisation,PRIMARY_BINARY_LOCATED,"0.Auto Suspensión Realizacion Bienes 26JUN2018.pdf"
C36-LAJ-2018-12-12-001,2018-12-12,Diligencia de Ordenación,LAJ,AGUEDA_REYES_ALMEIDA,28-Nov-2018 deed downstream treatment,CONNECTED_PRIMARY_COPY_LOCATED_SERVICE_CHALLENGE_OPEN,"Gmail 167c817fdf0b45e0; Diligencia Preclusión Plazo Venta Locales-Piscinas (12DIC2018).pdf"
C36-JUD-2019-03-11-001,2019-03-11,Providencia,MAGISTRADO,VERIFY,Aweswell documents / standing,REFERENCED_BY_PRIMARY,"24-Oct-2019 Auto"
C36-JUD-2019-10-24-001,2019-10-24,Auto,MAGISTRADO,ALBERTO_LOPEZ_VILLARRUBIA,Aweswell standing,CONNECTED_COMPLETE_COPY_HASH_SERVICE_OPEN,"Gmail 172134c64f5c98dd; 29b. Auto Denegada Expulsión de Aweswell - 25OCT2019.pdf"
