priority,workstream,evidence_or_question,current_status,what_it_supports,what_it_does_not_prove,next_action,publication_rule
P0,Administrador Concursal,2016 Community authority/debt/accounting notice and response,"knowledge described; complete native package/response still to complete","pre-2018 notice and knowledge checkpoint","acceptance of allegations or later intent","obtain native notice, annexes, receipt and AC/Court response","publish only redacted primary proof; distinguish notice from acceptance"
P0,Administrador Concursal,2018 access/security authorisations and safeguards,"material sequence documented; complete instruction/payment/control set pending","AC role/power interface with access and security","unlawful takeover or criminal intent","obtain instructions, limits, payer, inventories, communications and Court reporting","use actor-specific wording and provisional-dismissal limitation"
P0,Administrador Concursal,26 June 2018 suspension implementation,"decision known; implementation/accounting reconciliation incomplete","protective constraint on specified realisation process","that every later act breached the suspension","map affected fincas/instruments and AC monitoring/enforcement","asset-by-asset; no global suspension claim"
P0,Cuatrecasas,28 December 2018 Tías Property Registry intervention,"protective action described; native package and outcome must control","recognised legal/patrimonial/Registry risk and at least one lawyer action","complete protection programme or AC breach","obtain native filing, annexes, receipt, qualification, later entries and follow-through","double-edged evidence; do not say lawyers did nothing"
P0,Transactions,28 November 2018 deed / EUR 400,000 lane,"documentary lane identified; must remain separate from other transfers","a specific transaction requiring authority/payment/accounting review","identity with locales, 31-finca, remate or 2022 adjudication","obtain full deed, parties, fincas, price, payment, authority and ledger","never merge transaction lanes"
P0,Transactions,Locales transaction/proceeds,"separate lane; full proceeds/accounting evidence incomplete","need for proceeds and estate-benefit reconciliation","recipient liability or misuse of proceeds","obtain deed, invoices, bank/ledger records and legal basis","no recipient allegation without primary payment proof"
P0,Transactions,20 March 2019 AC convalidation request,"attributed by later record; full filing needed","direct procedural relationship between AC and transaction lane","criminal intent or complete legal effect","obtain filing, annexes, oppositions and stated purpose","quote original language only after recovery"
P0,Transactions,24 October 2019 decision and implementation,"decision lane identified; material restoration/accounting remains open","need to determine legal result and downstream implementation","automatic restitution or reversal of all effects","obtain certified decision, Registry consequences, restoration and account","separate legal decision from material implementation"
P0,Accounting,LPB estate/claim/proceeds/income/surplus reconstruction,"incomplete global reconciliation","whether estate value and recoveries were preserved/accounted","a predetermined damages or surplus figure","build independently sourced ledger and scenario analysis","no global damages figure until reconciled"
P0,Entity perimeter,LPB vs Matkator/CEXP/Community/third-party rights,"core distinction established; event-level mapping still required","one hotel did not equal one estate/owner/authority","misappropriation of any specific non-LPB right","maintain finca/right/entity matrix for every material event","global perimeter statement on key pages"
P0,Private actors,actor-specific 2018 conduct/authority/benefit,"multiple sources and allegations; attribution must remain individual","direct acts, representations, capacity and benefit where documented","collective guilt, common intent or criminal scheme","document-by-document matrix for FMMM, JDAM, LPAM, Antonio, Shaila and relevant entities","no guilt by family, Community or corporate association"
P1,Cuatrecasas,January-June 2018 knowledge to integrated protection plan,"live dossier identifies precursor knowledge and partial actions","known risks were material to mandate","professional negligence or guaranteed prevention","recover native advice, filings, instructions, ONA/lender/AC/Court communications and follow-through","frame as mandate/action/follow-through question"
P1,Juan Tomás Parrilla Suárez,mandate/actions/custody around 2018,"separate matrix exists; primary-source completion ongoing","what he knew, filed, advised or preserved","receipt of transaction proceeds or liability","obtain engagement, filings, communications, invoices, file-transfer/custody records","do not infer payment without invoice/ledger/bank proof"
P1,7 June dossier,material control without located CAM possession/eviction order,"live page currently preserves this distinction","physical/access sequence and authority gap requiring explanation","final criminal finding or proof of CAM judicial possession","keep certified criminal record, security/lock/access source set and adverse outcomes visible","preserve provisional dismissal confirmed on appeal"
P1,Downstream MYND/RIC,later title/operation/value/financing/incentive evidence,"documented downstream continuity","continuing economic use and value","retroactive legality or earlier actor knowledge/criminality","maintain non-retroactivity warning and trace income/title/financing separately","downstream evidence is context, not shortcut to earlier intent"
P1,Laborý/CATRUDE,historical technical report,"not identified; 18 archive families remain unresolved","open custody/production question and possible historical baseline","authorship, commissioner, client, AC receipt or Arrecife use","recover priority ZIP bytes and primary authorship/engagement evidence","never convert memory/subject similarity into attribution"
P1,Website,2018 loyal-protection box reciprocal linking,"new bilingual route exists in PR; reciprocal integration pending review","unitary reader pathway and correct accountability order","merits determination","after merge validate routes/build/privacy then add reciprocal cards","fact/document/inference/open-question/right-of-response structure"
P1,Website,evidence-strength and supports/does-not-prove labels,"recommended; not yet global","reader clarity and defensibility","substantive proof by presentation alone","extend legend and ten strongest exhibits after source review","same prominence for limiting/adverse evidence"
P2,Do-over,current legal and protective remedies,"programme defined; legal route must be counsel-led","finite future action rather than retrospective narrative only","automatic reset of final decisions","qualified Spanish counsel to map production, accounting, restitution, Registry, liability, damages and limitation steps","describe as present corrective programme, not procedural erasure"
