Source_Pages,Presented,REGAGE,Recipient,Subject,Annexes
1-1,26/02/2026 22:35:27,REGAGE26e00020919686,Fiscalia de la Comunidad Autonoma de Canarias,Remisión de comunicación institucional – posible núcleo penal extraconcursal,1
2-3,26/02/2026 22:31:13,REGAGE26e00020918896,Fiscalia Provincial de Las Palmas,Comunicación institucional – núcleo autónomo extraconcursal penal,1
4-5,14/02/2026 17:48:05,REGAGE26e00015833090,Fiscalia de la Comunidad Autonoma de Canarias,Solicitud de certificación de trazabilidad y tramitación – Ministerio Fiscal,1
6-7,13/02/2026 13:10:21,REGAGE26e00015563623,Fiscalia Provincial de Las Palmas,Impulso y solicitud de valoración – Denuncia penal Concurso 36/2012,5
8-9,12/02/2026 22:29:53,REGAGE26e00015265112,Fiscalia Especial contra la Corrupcion y Criminalidad Organizada,Aportación consolidada y solicitud de valoración y trazabilidad institucional,3
10-11,12/02/2026 22:19:20,REGAGE26e00015263188,Fiscalia Provincial de Las Palmas,Aportación consolidada y solicitud de valoración e impulso investigador,3
12-13,12/02/2026 15:37:29,REGAGE26e00015117118,Fiscalia Provincial de Las Palmas,Solicitud de información y copia – Expediente Gubernativo 33/2025,0
14-15,12/02/2026 15:21:51,REGAGE26e00015106249,Fiscalia Provincial de Las Palmas,Solicitud de información y copia – Diligencias 113/2022 Fiscalía LP,0
16-17,09/02/2026 23:01:28,REGAGE26e00013598378,Fiscalia Provincial de Las Palmas,Impulso de denuncia penal REGAGE26e00000558513 – perjuicio continuado,0
18-19,08/02/2026 15:26:45,REGAGE26e00013039722,Fiscalia Especial contra la Corrupcion y Criminalidad Organizada,Comunicación institucional – solicitud de valoración integrada Sun Park,2
20-21,08/02/2026 14:32:29,REGAGE26e00013037446,Fiscalia Provincial de Las Palmas,Ampliación denuncia penal – Concurso 36/2012 (hechos nuevos),1
22-23,02/02/2026 21:42:11,REGAGE26e00010658642,Fiscalia de Area de Arrecife de Lanzarote-Puerto del Rosario,Ampliación denuncia penal EG 19/2026 –Separación deliberada de paquete financier,1
24-25,02/02/2026 15:58:38,REGAGE26e00010495015,Fiscalia de Area de Arrecife de Lanzarote-Puerto del Rosario,Seguimiento Decreto inhibición Valencia EG 19/2026 – Denuncia Sun Park,0
26-27,02/02/2026 15:25:04,REGAGE26e00010479093,Fiscalia Especial contra la Corrupcion y Criminalidad Organizada,DENUNCIA PENAL–Indicios de fraude de inversión y coordinación delictiva (SunPark,2
28-29,02/02/2026 12:14:15,REGAGE26e00010347207,Fiscalia Provincial de Las Palmas,Ampliación de denuncia: indicios de coordinación delictiva y fraude inversor,2
30-31,01/02/2026 20:17:01,REGAGE26e00010093473,Fiscalia Especial contra la Corrupcion y Criminalidad Organizada,Activación y conexión institucional – Riesgo corrupción Sun Park / RIC / UE,0
32-33,01/02/2026 13:36:15,REGAGE26e00010062149,Fiscalia Provincial de Las Palmas,Impulso penal y conexión de actuaciones – Concurso 36/2012 (Sun Park),1
34-35,31/01/2026 21:19:32,REGAGE26e00009989396,Fiscalia Provincial de Las Palmas,Denuncia penal – Actuaciones y omisiones AC –Concurso 36/2012 (Mercantil 1 LPGC),1
