artifact_id,public_safe_label,document_date,date_basis,format,bytes,pages,page_count_basis,sha256,sha512,source_type,signature_state,classification,object_layer,match_variant_status,artifact_state,associated_regage_exact_proof,association_proof_basis,privacy_classification,native_public_status,public_derivative_status,transmission_boundary,evidential_limit
"MFSA-69147AEDC665","March 2026 integrated calificacion-review request","2026-03-26","BODY_DATE","DOCX","47691","12","RENDERED_FROM_DOCX_LAYOUT_DEPENDENT","69147aedc665e16480e5a61f6160485bba39994b817e2756590f2f7f923ae404","81920b9ac5dc619ee8a9db21ecb0ea8d4565ee8d0a4ddb65c7b10f2dafa150e6267f9fbfddbad548877554aabfde1373746ea13be6a451c761eafb9461bc5d0e","PARTY_COMMUNICATION","UNSIGNED_OOXML_NO_PACKAGE_SIGNATURE","SOURCE_ARTIFACT_PARTY_DOCUMENT","ARTIFACT_BYTES_NOT_TRANSMISSION_EVENT","NO_EXACT_REPOSITORY_MATCH; RECEIPT_IDENTITY_PENDING","UNSIGNED_COPY_FILING_UNPROVED","","","PRIVATE_PERSONAL_IDENTIFIERS_AND_ADDRESS_PRESENT","DO_NOT_PUBLISH_NATIVE","PUBLIC_SAFE_SUMMARY_ONLY","A later source reports registration activity but no receipt-to-hash bridge proves that this DOCX was the transmitted binary.","Proves the contents and byte identity of the copy supplied to this audit; it does not prove filing, receipt, institutional adoption, review, or merits treatment."
"MFSA-150FB16C44A9","January 2026 special-prosecutor complaint regarding the Sun Park perimeter","2026-01-02","BODY_DATE; PDF_METADATA_CREATED_2026-02-02","PDF","219965","4","PDF_NATIVE_PAGE_COUNT","150fb16c44a921cc0e3833d5772fc9dbf1678ab698c34107c8d6e0fab458f0e2","f229d46420526a1b3c3846328f4e0fd0b3e40cc04494dfe434882f8f7002f435591b17ddd596c169126b0f34140cc91d97eb7a5da9d131aec21efb2987093ffc","PARTY_PLEADING","UNSIGNED_PDF_NO_DIGITAL_SIGNATURE","SOURCE_ARTIFACT_PARTY_DOCUMENT","ARTIFACT_BYTES_NOT_TRANSMISSION_EVENT","EXACT_REGISTERED_ATTACHMENT; LOCAL_ALIAS_ONLY","FILED_EXACT_BINARY","REGAGE26e00010479093","REDSARA_RECEIPT_ATTACHMENT_SHA512_EXACT","PRIVATE_PERSONAL_IDENTIFIER_PRESENT","DO_NOT_PUBLISH_NATIVE","PUBLIC_SAFE_SUMMARY_ONLY","One exact registration event is proved for this binary; registration does not establish delivery beyond the recorded route, reading, allocation, investigation, or merits acceptance.","Proves the exact party pleading registered as an attachment and what it alleged; it does not prove the allegations, coordination, obstruction, wrongdoing, or criminality. Later source controls narrow several propositions."
"MFSA-11CF264FC836","July 2026 media-publication traceability annex (short derivative)","2026-07-08","PDF_CREATION_METADATA_ONLY","PDF","2699","1","PDF_NATIVE_PAGE_COUNT","11cf264fc836c866d1060e3b1dba9c4ffa47af398a13f8562574443b0c48ae1c","36f01395fa05d38292095b502a6bfe765b13c280fcd0770351e7b14c2d7bccba93c165f7ab001ed791b890414995423ea0bb335242e4296e0649eaf102c10c5b","INTERNAL_MEDIA_TRACEABILITY_ANNEX","UNSIGNED_PDF_NO_DIGITAL_SIGNATURE","SOURCE_ARTIFACT_INTERNAL_DERIVATIVE","ARTIFACT_BYTES_NOT_TRANSMISSION_EVENT","DISTINCT_RELATED_VARIANT_OF_MFSA-196BB02F77C1; CURRENT_PUBLIC_CONTROL_SUPERSEDES_STATUS","INTERNAL_DERIVATIVE_UNFILED","","","INTERNAL_DERIVATIVE_NO_NATIVE_PUBLICATION_REVIEW","DO_NOT_PUBLISH_NATIVE","PUBLIC_TRACEABILITY_CONTROL_EXISTS","This is an internal derivative artifact; no transmission or filing event is proved.","Proves only that the derivative note exists in this form. Article availability, removal, causation, pressure, or censorship require primary publication and communication evidence."
"MFSA-196BB02F77C1","July 2026 media-publication and removal annex (expanded derivative)","2026-07-08","PDF_CREATION_METADATA_ONLY","PDF","3142","1","PDF_NATIVE_PAGE_COUNT","196bb02f77c19dda043f155a855aff8df721c141677550622f59672b4cc253ae","4cc0b8aef2baae9033d2668c620714efff74629af159ee57443b46403fa602a0c594c785a7114bd16e83d24c6960c002f02a6beb76dd5b7b81aa7ea3f2cb4c9c","INTERNAL_MEDIA_TRACEABILITY_ANNEX","UNSIGNED_PDF_NO_DIGITAL_SIGNATURE","SOURCE_ARTIFACT_INTERNAL_DERIVATIVE","ARTIFACT_BYTES_NOT_TRANSMISSION_EVENT","DISTINCT_RELATED_VARIANT_OF_MFSA-11CF264FC836; CURRENT_PUBLIC_CONTROL_SUPERSEDES_STATUS","INTERNAL_DERIVATIVE_UNFILED","","","INTERNAL_DERIVATIVE_NO_NATIVE_PUBLICATION_REVIEW","DO_NOT_PUBLISH_NATIVE","PUBLIC_TRACEABILITY_CONTROL_EXISTS","This is an internal derivative artifact; no transmission or filing event is proved.","Proves only that the expanded derivative note exists in this form. Publication or removal does not by itself prove guilt, pressure, censorship, or a causal actor."
"MFSA-BECFFDD70F53","February 2026 autonomous extraconcursal-boundary communication","2026-02-26","BODY_AND_SIGNATURE_DATE","PDF","201888","6","PDF_NATIVE_PAGE_COUNT","becffdd70f53f706420c7457cc60963d61d7f62dfc130e6bd2730c4c02d31207","4780aefe774598a901808afe4772fa3dc25d7236dc80f6fe9b261580713813822f250dbaca696814f72219d31204a0e3e7111560c0d58fdc5e69e42b7b4b328f","PARTY_COMMUNICATION","INTEGRITY_SIGNATURE_VALID_FULL_DOCUMENT; CERTIFICATE_TRUST_CHAIN_NOT_ESTABLISHED","SOURCE_ARTIFACT_PARTY_DOCUMENT","ARTIFACT_BYTES_NOT_TRANSMISSION_EVENT","EXACT_REGISTERED_ATTACHMENT; SAME_BINARY_TWO_TRANSMISSIONS; LOCAL_ALIAS_ONLY","FILED_EXACT_BINARY_TWO_EVENTS","REGAGE26e00020918896|REGAGE26e00020919686","REDSARA_RECEIPT_ATTACHMENT_SHA512_EXACT_AND_RECEIPT_OCCURRENCE_COUNT_TWO","PRIVATE_PERSONAL_IDENTIFIERS_ADDRESS_AND_SIGNATURE_METADATA_PRESENT","DO_NOT_PUBLISH_NATIVE","PUBLIC_SAFE_SUMMARY_ONLY","One byte-identical artifact is linked by receipt-hash controls to two separate registration events; this does not merge the recipient files or prove incorporation or examination.","Proves the exact signed communication and two registrations. It does not prove the allegations, recipient review, institutional agreement, wrongdoing, coordination, obstruction, or criminality."
"MFSA-DA6F89A4257B","July 2026 Ministerio Fiscal continuity handover","2026-07-31","TITLE_OR_CONTENT_STATUS_DATE; OOXML_CORE_DATE_DEFAULT_NON_EVIDENTIAL","DOCX","50001","8","RENDERED_FROM_DOCX_LAYOUT_DEPENDENT","da6f89a4257bd9d5b9ec72ad937895458ca847ea2dc9c21770ce8b291b73d58d","116f8751f9c18ed6beca177617fe5e3135fa0fad83c64711a8a013d88a574e3995d49ed063414a52be881c3ddd246fd33d54e58412d21ff516907b5cd18ff9db","INTERNAL_CONTINUITY_HANDOVER","UNSIGNED_OOXML_NO_PACKAGE_SIGNATURE","SOURCE_ARTIFACT_INTERNAL_DERIVATIVE","ARTIFACT_BYTES_NOT_TRANSMISSION_EVENT","NEW_SOURCE_BINARY; CURRENT_STATUS_SUPERSEDED_BY_LATER_CONTROLS","INTERNAL_HISTORICAL_SNAPSHOT","","","INTERNAL_OPERATIONAL","DO_NOT_PUBLISH_NATIVE","INTERNAL_ONLY_OR_PUBLIC_SAFE_SUMMARY","A continuity handover is not a communication to Ministerio Fiscal and is not a filing event.","Historical continuity aid only. July counts, classifications, and status may be stale; later controls and underlying primary sources govern."
"MFSA-547C5D7706FA","July 2026 Ministerio Fiscal evidence report","2026-07-31","TITLE_OR_CONTENT_STATUS_DATE; OOXML_CORE_DATE_DEFAULT_NON_EVIDENTIAL","DOCX","57933","10","RENDERED_FROM_DOCX_LAYOUT_DEPENDENT","547c5d7706fa4ce82224a000b75752a320ca583510a428fa46f20293d5038b44","8d9d3787d0cbae508fa46460fb60b03d71d2d5b644aa9a1b1936135356c9e70bd57f101f08c956161b5dd4e2bd668ce5cf4478c7458382d310be059e814d3629","INTERNAL_EVIDENCE_REPORT","UNSIGNED_OOXML_NO_PACKAGE_SIGNATURE","SOURCE_ARTIFACT_INTERNAL_DERIVATIVE","ARTIFACT_BYTES_NOT_TRANSMISSION_EVENT","NEW_SOURCE_BINARY; CURRENT_STATUS_SUPERSEDED_BY_LATER_CONTROLS","INTERNAL_HISTORICAL_SNAPSHOT","","","INTERNAL_CONFIDENTIAL","DO_NOT_PUBLISH_NATIVE","INTERNAL_ONLY_OR_PUBLIC_SAFE_SUMMARY","An internal evidence synthesis is not a communication to Ministerio Fiscal and is not a filing event.","Derivative analysis only. It may route to primary sources but does not replace them, certify allegations, or fix current procedural status."
"MFSA-DB8B84FD2D12","July 2026 Las Palmas and Canarias Ministerio Fiscal long-form analysis","2026-07-31","TITLE_OR_CONTENT_STATUS_DATE; OOXML_CORE_DATE_DEFAULT_NON_EVIDENTIAL","DOCX","65561","17","RENDERED_FROM_DOCX_LAYOUT_DEPENDENT","db8b84fd2d12cdbd0ebad9cdf232adf7d35cb548addc10a9d22ebebaf431cdaf","f2707d6c94ace7a9d5f6ba731533453c9c26f7b8a4c9ebfc484bf9bdc06227b1db2edd62f3e89a8d890622e89fb9f948056dfabdf57846d135d6b3a518310027","INTERNAL_LONGFORM_ANALYSIS","UNSIGNED_OOXML_NO_PACKAGE_SIGNATURE","SOURCE_ARTIFACT_INTERNAL_DERIVATIVE","ARTIFACT_BYTES_NOT_TRANSMISSION_EVENT","RELATED_DOCX_COMPANION_TO_KNOWN_PDF; EXACT_EQUIVALENCE_PENDING","INTERNAL_HISTORICAL_SNAPSHOT","","","INTERNAL_CONFIDENTIAL_AND_PERSONAL_IDENTIFIER_PRESENT","DO_NOT_PUBLISH_NATIVE","INTERNAL_ONLY_OR_PUBLIC_SAFE_SUMMARY","This DOCX analysis is not itself a proved transmission or filing; a same-title PDF located elsewhere is not treated as byte- or content-identical without comparison.","Derivative analysis only. Underlying sources control each proposition; the DOCX-to-PDF relationship and any filing or circulation remain unproved."
"MFSA-39C62C2596FB","July 2026 urgent extraconcursal requirement authoring source","2026-07-31","BODY_DATE; OOXML_CORE_DATE_DEFAULT_NON_EVIDENTIAL","DOCX","54926","8","RENDERED_FROM_DOCX_LAYOUT_DEPENDENT","39c62c2596fbb175f7e6c34dc0743708f62e1454ef0659069a745fd04de54015","e58bedb5c0eab50449da361ea367f390f00e821e1cbd72e2d70e659c6b0ceb6ac0866c3768cd1162f2cf16f434214844697666764bf1015085c8289785b2e68b","OUTBOUND_AUTHORING_SOURCE","UNSIGNED_OOXML_NO_PACKAGE_SIGNATURE","SOURCE_ARTIFACT_AUTHORING_DRAFT","ARTIFACT_BYTES_NOT_TRANSMISSION_EVENT","PRESIGNATURE_DOCX_VARIANT; NOT_BYTE_IDENTICAL_TO_SEPARATE_REGISTERED_SIGNED_PDF","UNSIGNED_AUTHORING_DRAFT_NOT_FILED","","","PRIVATE_PERSONAL_IDENTIFIERS_ADDRESS_AND_CONTACT_DATA_PRESENT","DO_NOT_PUBLISH_NATIVE","PUBLIC_SAFE_SUMMARY_ONLY","This unsigned DOCX is an authoring source. A later signed PDF is a separate binary with its own proved registration; that filing event is not assigned to this DOCX.","Proves the wording and byte identity of an unsigned authoring version only. It does not prove signature, filing, receipt, review, or later action."
"MFSA-E9599CAEF556","Early-June 2026 Fiscalia follow-up letter copy","2026-06-02","SUPPLIER_LABEL_ONLY; BODY_UNDATED; OOXML_CREATED_2026-06-01","DOCX","27669","5","RENDERED_FROM_DOCX_LAYOUT_DEPENDENT","e9599caef5561a2bbc63933c4963898f8d51958925c822966f84f8d572365ee7","a0df6a16f1ed25041411e9af953035da45bce9d0ba6e216048b58bc0e2992595e0549d2027cf84173dd5d0e013961e8bc2a6f44d47b746f5db53b0124c2d6d0c","PARTY_FOLLOW_UP_COPY","UNSIGNED_OOXML_NO_PACKAGE_SIGNATURE","SOURCE_ARTIFACT_PARTY_DOCUMENT","ARTIFACT_BYTES_NOT_TRANSMISSION_EVENT","NO_EXACT_REPOSITORY_MATCH; SEND_OR_REGISTRATION_PROOF_PENDING","UNSIGNED_OUTBOUND_COPY_SEND_UNPROVED","","","OUTBOUND_COPY_WITH_CONTACT_DATA","DO_NOT_PUBLISH_NATIVE","PUBLIC_SAFE_SUMMARY_ONLY","Existence of this copy does not prove sending, delivery, receipt, registration, or filing.","Proves only the supplied copy and its contents. The body is undated; no transmission proof, legal duty, adverse inference, or unlawfulness finding follows from the artifact alone."
