regage,presented_at,subject,attachment_count
REGAGE26e00020919686,26/02/2026 22:35:27,Remisión de comunicación institucional – posible núcleo penal extraconcursal,1
REGAGE26e00020918896,26/02/2026 22:31:13,Comunicación institucional – núcleo autónomo extraconcursal penal,1
REGAGE26e00015833090,14/02/2026 17:48:05,Solicitud de certificación de trazabilidad y tramitación – Ministerio Fiscal,1
REGAGE26e00015563623,13/02/2026 13:10:21,Impulso y solicitud de valoración – Denuncia penal Concurso 36/2012,5
REGAGE26e00015265112,12/02/2026 22:29:53,Aportación consolidada y solicitud de valoración y trazabilidad institucional,3
REGAGE26e00015263188,12/02/2026 22:19:20,Aportación consolidada y solicitud de valoración e impulso investigador,3
REGAGE26e00015117118,12/02/2026 15:37:29,Solicitud de información y copia – Expediente Gubernativo 33/2025,0
REGAGE26e00015106249,12/02/2026 15:21:51,Solicitud de información y copia – Diligencias 113/2022 Fiscalía LP,0
REGAGE26e00013598378,09/02/2026 23:01:28,Impulso de denuncia penal REGAGE26e00000558513 – perjuicio continuado,0
REGAGE26e00013039722,08/02/2026 15:26:45,Comunicación institucional – solicitud de valoración integrada Sun Park,2
REGAGE26e00013037446,08/02/2026 14:32:29,Ampliación denuncia penal – Concurso 36/2012 (hechos nuevos),1
REGAGE26e00010658642,02/02/2026 21:42:11,Ampliación denuncia penal EG 19/2026 –Separación deliberada de paquete financier,1
REGAGE26e00010495015,02/02/2026 15:58:38,Seguimiento Decreto inhibición Valencia EG 19/2026 – Denuncia Sun Park,0
REGAGE26e00010479093,02/02/2026 15:25:04,DENUNCIA PENAL–Indicios de fraude de inversión y coordinación delictiva (SunPark,2
REGAGE26e00010347207,02/02/2026 12:14:15,Ampliación de denuncia: indicios de coordinación delictiva y fraude inversor,2
REGAGE26e00010093473,01/02/2026 20:17:01,Activación y conexión institucional – Riesgo corrupción Sun Park / RIC / UE,0
REGAGE26e00010062149,01/02/2026 13:36:15,Impulso penal y conexión de actuaciones – Concurso 36/2012 (Sun Park),1
REGAGE26e00009989396,31/01/2026 21:19:32,Denuncia penal – Actuaciones y omisiones AC –Concurso 36/2012 (Mercantil 1 LPGC),1
REGAGE26e00009619555,30/01/2026 13:08:23,Impulso y estado de actuaciones – Denuncia penal REGAGE26e00002509453,0
REGAGE26e00008174024,27/01/2026 18:06:35,Ampliación penal: instrumentalización concursal y explotación hotelera SUN PARK,1
REGAGE26e00008135470,27/01/2026 16:46:30,Ampliación denuncia penal — atribución falsa de explotación (SUN PARK),1
REGAGE26e00007671618,26/01/2026 18:24:15,Denuncia Penal con prueba documental — actuaciones continuadas de FMMM,4
REGAGE26e00007274391,25/01/2026 19:56:07,Ampliación de denuncia penal – investigación unitaria  SunPark /Concurso 36/2012,1
REGAGE26e00006926791,25/01/2026 00:21:12,[subject withheld: source form extraction exposed personal identifier rather than a safe subject line],0
REGAGE26e00006889281,24/01/2026 22:07:07,Denuncia penal autónoma – instrumentalización unidades hoteleras SUN PARK,1
REGAGE26e00006729771,24/01/2026 13:30:04,Ampliación denuncia penal – explotación económica sin título (Sun Park),1
REGAGE26e00006380826,23/01/2026 22:48:10,DENUNCIA PENAL AUTÓNOMA – Hechos económicos en Concurso 36/2012,1
REGAGE26e00005766071,22/01/2026 16:12:27,Hechos nuevos – CNMV y trazabilidad supervisora Sun Park (Concurso 36/2012),1
REGAGE26e00005739082,22/01/2026 14:52:50,Activación e investigación penal – conducta judicial post RIC (Concurso 36/2012),1
REGAGE26e00005045671,21/01/2026 01:25:24,Comunicación institucional y solicitud de actuaciones – Concurso 36/2012,1
REGAGE26e00005031882,20/01/2026 23:05:13,Acompaña denuncia penal – utilización extraprocesal de auto no firme,1
REGAGE26e00005026215,20/01/2026 22:24:26,Denuncia penal por ejecución material divergente del plan de liquidación (LPB),1
REGAGE26e00004639835,19/01/2026 22:17:34,"Denuncia penal – OB REM, uso de fondos no convalidados y opacidad concursal",1
REGAGE26e00004637447,19/01/2026 22:05:43,Denuncia penal – decisiones bancarias y cesión de crédito (Valencia),1
REGAGE26e00004464121,19/01/2026 13:09:30,Denuncia por sabotaje de mandato judicial firme mediante coacciones,4
REGAGE26e00004231823,18/01/2026 22:07:02,DENUNCIA PENAL: DESAHUCIOS FRAUDULENTOS y FABRICACIÓN DE PASIVO – HOTEL SUN PARK,4
REGAGE26e00004212180,18/01/2026 18:47:32,Denuncia penal por obstrucción a la justicia y sabotaje concursal (36/2012),2
REGAGE26e00004130537,17/01/2026 22:31:09,AMPLIACIÓN DENUNCIA URGENTE: SUPLANTACIÓN DIGITAL Y PRUEBA – SUN PARK,5
REGAGE26e00003978586,16/01/2026 17:26:09,Aportación documental AEAT y solicitud urgente de aseguramiento probatorio (Sun,1
REGAGE26e00004224449,18/01/2026 20:46:48,Comunicación coordinación procedimental – denuncias penales autónomas (36/2012),0
REGAGE26e00003976575,16/01/2026 17:13:09,Aportación de documental sobrevenida y solicitud de actuaciones urgentes – Sun,1
REGAGE26e00003910728,16/01/2026 13:40:51,Ampliación urgente y preservación probatoria – Ejecución 163/2020 (La Laguna),3
REGAGE26e00003908732,16/01/2026 13:38:01,Solicitud urgente de preservación probatoria y diligencias – Operación “Sun Park,3
REGAGE26e00003655258,16/01/2026 00:52:56,Remisión urgente de Nota de Inteligencia Penal – Operación “Sun Park”,1
REGAGE26e00003654762,16/01/2026 00:45:04,Ampliación y coordinación urgente de diligencias penales – Ejecución 163/2020,1
REGAGE26e00003639389,15/01/2026 22:13:43,Solicitud de preservación probatoria por contradicciones económicas 36/2012,5
REGAGE26e00003629560,15/01/2026 21:08:37,Solicitud urgente de preservación probatoria –Sun Park / Club Sei  Meeting Point,2
REGAGE26e00003609135,15/01/2026 19:11:50,Solicitud urgente de preservación probatoria – Sun Park / Meeting Point,3
REGAGE26e00003492334,15/01/2026 13:30:47,Solicitud urgente de preservación probatoria Sun Park Meeting Point,5
REGAGE26e00003250168,14/01/2026 22:19:55,Presentación DENUNCIA PENAL CONSOLIDADA – Explotación económica sin título,1
REGAGE26e00003220856,14/01/2026 19:07:01,Ampliación penal: supresión de activo financiero con impacto concursal (36/2012),5
REGAGE26e00003032686,14/01/2026 11:08:15,Denuncia penal – Ampliación y preservación probatoria (Concurso 36/2012),5
REGAGE26e00002890984,13/01/2026 23:12:29,Denuncia penal por indicios de prevaricación judicial – Concurso 36/2012,3
REGAGE26e00002509453,12/01/2026 20:16:52,Denuncia penal por estafa procesal – Ejecución 163/2020 La Laguna,3
REGAGE26e00000915291,06/01/2026 21:56:42,Denuncia penal por explotación económica continuada sin título jurídico,1
REGAGE26e00000558513,04/01/2026 23:02:56,Denuncia penal – Acta 2022 Sun Park / posible falsedad y estafa procesal,5
REGAGE25e00112032057,27/12/2025 14:10:46,Trazabilidad institucional de información relevante – Concurso 36/2012,5
REGAGE25e00112013942,27/12/2025 09:25:05,Impacto de la Cdad Prop en la contabilidad y calificación del Concurso 36/2012,2
REGAGE25e00112010032,27/12/2025 07:21:28,SAIP - Solicitud de información y trazabilidad institucional (Sun Park),2
REGAGE25e00110747384,21/12/2025 21:59:46,Información y trazabilidad sobre actuaciones relativas al Hotel Sun Park / MYND,0
REGAGE25e00110746869,21/12/2025 21:45:09,Acceso info Fiscalía – Sun Park / MYND Yaiza y acuerdos de Junta con quórum,0
REGAGE25e00110740444,21/12/2025 19:42:41,Información vinculada a OC/2024/0532 y riesgo para fondos de la UE,2
REGAGE25e00110733128,21/12/2025 17:26:39,SAIP – Procedimientos Madrid / delitos económicos y supresión mediática,3
REGAGE25e00110721697,21/12/2025 12:50:47,SAIP – Trazabilidad MF en DP 91/2023 y remisión a Fiscal de Delitos Económicos,0
REGAGE25e00110720219,21/12/2025 12:16:20,SAIP – Informes del Ministerio Fiscal en DP 91/2023 y Rollo 120/2024,0
REGAGE25e00110650329,21/12/2025 01:18:09,Trazabilidad de actuaciones fiscales vinculadas a hechos publicados en 2022,0
REGAGE25e00110647380,21/12/2025 00:00:43,SAIP – Trazabilidad y remisión al Juzgado Mercantil (LPB),0
REGAGE25e00110488805,19/12/2025 18:13:30,Solicitud de información pública y trazabilidad institucional – Canarias,0
REGAGE25e00109448641,16/12/2025 22:10:39,Efectos graves en la integridad institucional y fondos públicos,1
REGAGE25e00109049983,15/12/2025 21:36:51,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
REGAGE25e00109048119,15/12/2025 21:18:11,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
REGAGE25e00109047819,15/12/2025 21:15:44,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
REGAGE25e00109045569,15/12/2025 20:59:50,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
REGAGE25e00109045279,15/12/2025 20:57:24,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
REGAGE25e00109044837,15/12/2025 20:53:36,"Responsabilidad institucional, seguridad judicial y protección fondos públicos",1
