"record_id","date","document_type","title_or_function","issuer_or_actor","court_or_forum","proceeding","source_system","source_locator","pages","complete_copy","annex_status","operative_or_evidential_effect","conditions_or_limits","asset_scope","evidence_label","retrieval_priority"
"E001","2012-06-06","Auto","Declaration of voluntary insolvency","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso ordinario 36/2012; NIG 3501647120120000351","Gmail","message 163d0e6f6da5d4ed; AUTO Declaración Concurso LPB - DocExp 1997-14150 08junio2012.pdf; SHA-256 04b0454f773e9d74ccd847d09f3e24a9be6b8f4431f6954baebc8ffa586f7139","9","yes","no schedules attached","Declares LPB in voluntary concurso; retains LPB powers subject to AC intervention; appoints Francisco de Borja Rodríguez-Batllori Laffitte; orders updated inventory","Not a disposition or third-party-title decision","LPB and LPB patrimony","PROVEN BY PRIMARY DOCUMENT","controlled"
"E002","2017-01-20","Auto","Modification of definitive texts concerning Owners' Community","Judge Juan Avello Formoso","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 1","Gmail","message 163d0e6f6da5d4ed; AUTO Modificación Textos Definitivos CDAD PROP 26JAN2017.pdf","2","yes","underlying application and AC report not attached","Adds contingent ordinary claim without own amount for pre-declaration Community fees; leaves during-concurso estate claim unchanged","Unappealable; does not quantify contingent claim or validate later Community figures","Community creditor claims","PROVEN BY PRIMARY DOCUMENT","controlled; supporting pack P1"
"E003","2017-12-19","Auto","Opening of liquidation","Judge Juan Avello Formoso; LAJ Eduardo José Rebollo Sanz","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Gmail","message 19e7ee756d18c96f; DOCUMENTO Nº1 Notificacion Auto Apertura Liquidacion 26DIC2017.pdf","3","yes","none indicated","Opens liquidation; suspends LPB powers over its patrimony; dissolves LPB; substitutes AC; requires plan and quarterly reports","No individual conveyance or third-party-property mechanism","LPB patrimony","PROVEN BY PRIMARY DOCUMENT","controlled"
"E004","2018-01-12","Reported providencia","Requirement to exhibit complete CAM assignment deed","Court","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012","Repository docket lead","Por Derecho commit a50e034b13ae9942ac18f277bdb8f2274e3b60dd; archive/CONCURSO_36_2012_DOCKET_WIDE_DISCOVERY_PROMOTION_REGISTER_17AUG2026.md","unknown","no","original, compliance filing and service missing","Repository register identifies a requirement directed to CAM concerning the full assignment instrument","Secondary locator only; exact text and compliance cannot be inferred","Creditor-position evidence","DOCUMENT NOT YET LOCATED","P0"
"E005","2018-01-15","Unilateral offer; Annex II","CAM offer to insolvency administrator","Construcciones Acosta Matos, S.A.; signed by Laura Acosta Matos","Commercial submission related to Juzgado Mercantil nº 1","Concurso 36/2012","Google Drive","Google Drive; restricted source locator withheld; 2. ANEXO II. OFERTA DE CAM 15FEB2018.pdf","12","yes","referenced authority deed and reasonable-value appraisal absent","Offers future dación of 159 stated LPB fincas and €400,000 purchase of 31-finca branch; asserts €12,251,446.21 debt and €7,065,384.42 159-unit value","Offer only; no AC acceptance or judicial signature; no present possession, exploitation or surplus clause; second list duplicates 8579 and omits 8519","159 offered LPB fincas; stated 31-finca branch; no third-party transfer","PROVEN BY PRIMARY DOCUMENT; UNRESOLVED","controlled; missing offer attachments P0"
"E006","2018-01-18","AC filing","Liquidation plan","Insolvency administrator Francisco de Borja Rodríguez-Batllori Laffitte","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive and Gmail","Google Drive; restricted source locator withheld; Gmail message 1963e7416170ea0b; PLAN DE LIQUIDACION DE LUCHY 15FEB2018.pdf","15","yes","core body complete; Annex II separately controlled; exact filed ACTÚA Annex I absent","Proposes LPB liquidation route; distinguishes €9,776,003.13 whole-complex appraisal including foreign fincas from €7,096,913.83 LPB real estate; lists unsupported receivables and intangibles","Not self-executing; required court approval, title verification, competition, conveyance and accounting","LPB 159 apartments, 31 locales/pools and listed financial/intangible assets; foreign fincas excluded","PROVEN BY PRIMARY DOCUMENT","controlled; exact Annex I and definitive inventory P0"
"E007","2018-02-15","Auto","Recognition of CAM as successor secured-credit holder","Judge Alberto López Villarrubia; LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 1","Gmail and Google Drive","Gmail message 1963e7416170ea0b; AUTO Modificación Textos Definitivos CAM+RETRACTO - 15FEB2018.pdf; restricted Drive source locator withheld","3","yes","AC report, Protocol 2248 and appeal/finality pack missing","Current repository control recognises CAM in place of PH122 for €857,373.81 plus €8,194,877.88 secured claims and contingent unquantified costs; it preserves definitive-text quantum on holder change","Current canonical date is 15 February 2018 and the stated route is a twenty-day appeal. The earlier 8/9/14-February reconstruction is superseded pending direct reinspection of the complete three-page source. The act does not prove assignment economics, payment, later possession or finality.","Creditor position only","PROVEN BY PRIMARY DOCUMENT; DATE-LAYER REINSPECTION OPEN","P0 source reinspection, assignment economics and finality"
"E008","2018-04-16","Auto","Approval of liquidation plan","Judge Alberto López Villarrubia","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 5","Google Drive","Google Drive; restricted source locator withheld","7","yes","core plan controlled; exact ACTÚA Annex I absent","Approves plan; authorises 159-apartment dación and 31-finca €400,000 route; expressly excludes property of others","Publicity; ten-day better offer; later licitation; taxes/costs; difference and surplus rules; reporting; later cancellation order","Enumerated LPB fincas; foreign property excluded","PROVEN BY PRIMARY DOCUMENT","controlled"
"E009","2018-04-16","Auto aclaratorio","Clarification of CAM interest within mortgage maxima","Judge Alberto López Villarrubia; LAJ Águeda Reyes Almeida","Juzgado de lo Mercantil nº 1 de Las Palmas","Concurso 36/2012, Section 1","Gmail and Google Drive","Gmail message 1963e7416170ea0b; Auto Aclaracion Intereses CAM (art 59LC) Responsabilidad Hipotecaria Pactada 16ABR2018.pdf; Google Drive; restricted source locator withheld","2","yes","underlying accrual records absent","Clarifies the earlier holder-substitution ruling so the interest component may increase up to mortgage-deed maxima","The clarification reportedly recites an 8 February date; that source recital does not displace the current 15 February 2018 date control and remains pending direct reinspection. It does not state caps had accrued; no euro liquidation, rate-period reconciliation, closing payoff or asset conveyance.","Creditor quantum only","PROVEN BY PRIMARY DOCUMENT; DATE-RECITAL REINSPECTION OPEN","controlled; accrual/payoff and date recital P0"
"E010","2018-04-26","Nota simple","Finca 8584 Matkator title","Registro de la Propiedad de Tías","Land Registry","Finca 8584; CRU 35019000361734","Google Drive","Google Drive; restricted source locator withheld; earlier copy 1XpPd4Jcx6jUr69mnKQzcD_QUclNwWl4A","3","yes","post-2022 certified history absent","Shows Matkator 100 percent title; acquisition 26 Jun 2015, Protocol 569","Informative note, not art. 225 certification; physical unit mappings conflict elsewhere","Matkator finca 8584","PROVEN BY PRIMARY DOCUMENT","controlled; certified history P0"
