item_id,period,event_or_risk,source_status,knowledge_basis,role_or_duty_to_test,protective_action_located,action_status,result_or_gap,limiting_or_contrary_evidence,production_request,current_do_over_action,public_safe_wording
AC-01,2012,"Appointment and opening of Concurso 36/2012","official/judicial source described; appointment record should control","Court appointment and insolvency file","Identify estate; distinguish debtor, assets, rights, liabilities and non-estate property","Initial insolvency reports and definitive texts are located in the wider corpus","action located; completeness to test","Need a controlled baseline showing LPB assets, claims, hotel interests and exclusions at commencement","The AC could rely on the information and judicial framework then available; later disputes do not prove the original inventory was knowingly false","Appointment, complete initial report, annexes, definitive texts and working asset register","Create opening estate/right matrix and compare every later addition, removal and reclassification","The opening record must be reproduced asset by asset; later criticism is not a substitute for the original file."
AC-02,June 2016,"Simó/CLS economic analysis and meeting on Community debt, expenditure, voting and authority","contemporaneous audio/transcript family; native audio controls","Professional meeting placed accounting and Community issues before relevant advisers; exact AC receipt route to verify","Investigate and accurately reflect Community claims and estate consequences where within the office-holder's function","No complete responsive AC investigation has yet been located in the accessible corpus","no responsive action yet located; production required","Unknown whether a reconciliation, court report or reasoned rejection followed","Attendance by others and disputed party statements do not prove AC knowledge of every detail or acceptance of their accuracy","Native audio, clean transcript, report package, transmission evidence and AC response","Create Community-debt reconciliation and notice-response log","The 2016 material establishes an early knowledge checkpoint; the responsive AC record should be produced before final conclusions."
AC-03,12 July 2016,"Burofax notice concerning Community authority, debt, representation and accounting","primary package described with proof of receipt; redacted original pending public linkage","Delivery to the insolvency-administration perimeter, subject to the complete package","Assess notice; preserve estate rights; inform Court or explain non-action where legally required","No complete response, investigation or court communication has yet been located","notice supported; response pending","The detailed contents and annexes must be controlled by the original, not later summaries","Receipt does not establish acceptance, accuracy or later intent","Redacted original, annex list, delivery proof, diary/filing entry and response","Build certified notice-to-action chronology","Formal notice before 2018 is material; it does not by itself establish breach or conscious assistance."
AC-04,2017,"Transition from failed convention to liquidation","judicial and pleading record described","Change in procedural phase and need to preserve viable value and recovery routes","Test value preservation, sale architecture and recovery choices against applicable law and orders","Liquidation plan and reports are located in the wider record","action located; adequacy and omissions to test","Need to identify whether the plan preserved the hotel business, claims, non-estate rights and a full-payment route","Liquidation itself was court-supervised and is not proof of misconduct","Complete plan, objections, valuations, alternatives, Court orders and decision log","Create counterfactual exit/realisation matrix","The question is not liquidation in the abstract but whether available value and rights were independently identified and protected."
AC-05,January–May 2018,"Keys, access, security, mixed title and rescue/investor warnings","contemporaneous correspondence described on controlled Cuatrecasas page; originals and privilege control required","Possession, access and mixed ownership were active professional risks before June","Protect LPB assets; avoid conflating estate and non-estate property; seek Court direction where necessary","AC-related requests and communications are described; complete protective plan not located","partly located; scope and result unresolved","Need to separate necessary estate access from authority over Matkator, CEXP, common elements and third-party rights","A request for access or security may have had a lawful protective rationale","Complete instructions, emails, Court applications, security scope, title matrix and responses","Reconstruct pre-7 June authority and protection plan","Pre-June access risk was known; the exact lawful purpose, scope and safeguards should be documented."
AC-06,18 May–7 June 2018,"Community/security measures and material-control sequence","Community record, witness material and Arrecife record described; certified complete file pending","A sequence involving security, locks, access and exclusion is supported at evidential-roadmap level","Prevent unauthorised faits accomplis affecting estate assets; distinguish possession from title and authority","Some AC-related requests or approvals are alleged/described; exact originals and scope are incomplete","supported but incomplete; actor-specific proof required","No complete instruction, payer, access, inventory, safeguard and post-event review package has been located","Arrecife proceedings were provisionally dismissed; testimony is not a final finding; operational necessity may be asserted","Certified minutes, security contract, invoices, payer, access logs, locksmith instructions, inventories and statements","Create person-by-person act/authority/benefit matrix and estate-impact report","The record supports a material-control investigation question, not a final criminal conclusion."
AC-07,12 June 2018,"Stoneweg/Varia funded-exit package and alternative transaction routes","controlled repository description; signed original package should control","Potential exit and value-preservation alternatives were active near the control events","Evaluate and preserve viable alternatives; explain decision path and deliverability","Transaction work by advisers is described; AC evaluation and comparison not fully located","document pending","Need the AC's appraisal of alternatives, conditions, timing and estate benefit","No offer is guaranteed to close; financing conditions and third-party decisions matter","Signed offer, funding evidence, conditions, communications, valuation and AC/Court treatment","Build alternative-route decision ledger and loss-of-opportunity analysis","The alternative route is relevant to timing and value; it is not proof that completion was certain."
AC-08,26 June 2018,"Judicial suspension affecting specified realisation activity","official order described; certified complete order required","A judicial boundary existed for the assets and process within its scope","Implement and monitor the suspension; avoid interdependent acts outside its lawful scope","The order is identified; complete implementation record not located","order located; implementation pending","Unclear which assets and acts were frozen, permitted or later authorised","Scope cannot be inferred for every finca or transaction without the complete order","Certified order, asset schedule, service, implementation instructions and later modification","Create suspension-to-transaction legal map","The suspension must be read asset by asset; its existence does not decide the legality of every later act."
AC-09,28 November 2018,"One or more deeds/transactions, including a described EUR 400,000 linked/free-asset lane","filed material and Registry descriptions; original deeds/payment evidence required","The AC's participation, authority and accounting must be reconstructed transaction by transaction","Protect estate value; comply with orders and plan; account for price and proceeds; preserve linked assets","AC involvement is described; exact instrument-by-instrument role remains to verify","supported but incomplete","Need to disaggregate deed, locales, alleged 31-finca lane, price, payment, authority and ledger","A transaction may have relied on legal advice, Court supervision or later regularisation; not every 2018 event is the same instrument","Complete deeds, powers, payment records, bank statements, ledger entries, Registry notes and Court filings","Create transaction disaggregation and proceeds reconciliation","Each 2018 instrument must stand on its own evidence; no collective label can replace deed-level proof."
AC-10,28 December 2018,"Cuatrecasas communication to Tías Property Registry","controlled description; original subject to privilege/publication review","External counsel regarded the CAM-facing transaction and Registry position as materially risky","Assess the same risk from the office-holder's role and explain protective response","External counsel action is located; equivalent AC protective action is not yet fully mapped","benchmark established; AC response pending","The Registry intervention raises rather than answers the institutional protection question","It proves some lawyer action and therefore defeats a claim that all counsel were wholly inactive","Original communication, annexes, Registry response, AC notice/knowledge and follow-through","Use as benchmark in AC protection matrix; preserve privilege","If external counsel considered Registry intervention necessary, the AC should identify his own contemporaneous protection and accounting response."
