block,apartment,registry_finca,horizontal_number,gesvalt_owner_label,working_owner_book_lead,actua_photo_match,condition_15jan2018,access_15jan2018,later_cam_acquisition,confidence,notes
4,401,8615,79,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"GESVALT owner label is historic working layer, not current Registry proof"
4,402,8614,78,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
4,403,8613,77,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
4,404,8612,76,LUCHY PLAYA BLANCA SL,"AMENEM lead in May2008-Feb2022 working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
4,405,8611,75,LUCHY PLAYA BLANCA SL,"AMENEM lead in May2008-Feb2022 working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
4,406,8610,74,LUCHY PLAYA BLANCA SL,"AMENEM lead in May2008-Feb2022 working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
4,407,8609,73,LUCHY PLAYA BLANCA SL,"AMENEM lead in May2008-Feb2022 working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
4,408,8608,72,LUCHY PLAYA BLANCA SL,"AMENEM lead in May2008-Feb2022 working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
4,451,8720,182,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
4,452,8719,181,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
4,453,8718,180,TENGOLF SL,"AMENEM group lead in working owner workbook includes 453",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
4,454,8717,179,AMENEM SL,"AMENEM",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
4,455,8716,178,AMENEM SL,"AMENEM",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
4,456,8715,177,AMENEM SL,"AMENEM",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
4,457,8714,176,AMENEM SL,"AMENEM",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
4,458,8713,175,JL MOLINA MARRERO,"AMENEM group lead in working owner workbook includes 458",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
5,501,8607,71,LUCHY PLAYA BLANCA SL,"JOSE LUIS MOLINA MARRERO lead in working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
5,502,8606,70,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,503,8605,69,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,504,8604,68,LUCHY PLAYA BLANCA SL,"MURUGA lead in working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
5,505,8603,67,JAVIER RUIZ SPOHR,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,506,8602,66,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,507,8601,65,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,508,8600,64,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,509,8599,63,AMENEM SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,510,8598,62,AMENEM SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,511,8597,61,AMENEM SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,512,8596,60,AMENEM SL,"INVERSIONES SALINETAS group lead in working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
5,513,8595,59,AMENEM SL,"INVERSIONES SALINETAS group lead in working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
5,514,8594,58,JL MOLINA MARRERO,"INVERSIONES SALINETAS group lead in working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
5,551,8712,174,LUCHY PLAYA BLANCA SL,"JOSE LUIS MOLINA MARRERO lead in working owner workbook",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,"Owner-source/time-layer contradiction must be reconstructed"
5,552,8711,173,ACCIONES CANARIAS SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,553,8710,172,SAREB,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,554,8709,171,SAREB,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,555,8708,170,SAREB,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,556,8707,169,PATRICIA GLEZ TREVIÑO,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,557,8706,168,CRISTINA MOLINA PETIT,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,558,8705,167,ALEJANDRO GARCIA CHECA,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,559,8704,166,DANIEL VAN DER HORST,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,560,8703,165,LUCHY PLAYA BLANCA SL,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,561,8702,164,ANA JIMENEZ LORT,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,562,8701,163,INVERSIONES SALINETAS SL,"INVERSIONES SALINETAS",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,563,8700,162,INVERSIONES SALINETAS SL,"INVERSIONES SALINETAS",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
5,564,8699,161,INVERSIONES SALINETAS SL,"INVERSIONES SALINETAS",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DOCUMENTED_GEOMETRY,""
